epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,522,173750,332.85440613,0.434185498303
2,441,206150,467.46031746,1.14872805199
3,423,216150,510.992907801,1.46195791096
4,386,240850,623.96373057,2.00027604219
5,349,261150,748.280802292,2.28203312438
6,296,280300,946.959459459,2.45942337429
7,242,296500,1225.20661157,2.99472617619
8,225,310350,1379.33333333,3.33480744393
9,212,311000,1466.98113208,3.43801977265
10,195,322400,1653.33333333,3.73069101977
11,179,329450,1840.5027933,4.02992853136
12,172,342150,1989.24418605,4.13955317615
13,175,343450,1962.57142857,4.12576714579
14,172,339700,1975.0,4.24305493253
15,166,353100,2127.10843373,4.23019726678
16,157,356950,2273.56687898,4.19236328217
17,154,352000,2285.71428571,4.10166747766
18,150,355650,2371.0,4.29385698284
19,155,351500,2267.74193548,4.35765505031
20,160,360050,2250.3125,4.47299851321
21,150,361450,2409.66666667,4.54490799189
22,148,368200,2487.83783784,4.42247070446
23,147,361450,2458.84353741,4.48925538349
24,155,365400,2357.41935484,4.44231780664
25,142,365950,2577.11267606,4.4154493233
26,145,366300,2526.20689655,4.33370701696
27,161,373050,2317.08074534,4.26965596132
28,151,365100,2417.8807947,4.23267048845
29,147,366000,2489.79591837,4.18296229075
30,147,377000,2564.62585034,4.24681350223
31,142,377700,2659.85915493,4.27725672067
32,147,381650,2596.2585034,4.23237155562
33,145,385700,2660.0,4.30160283544
34,148,389250,2630.06756757,4.22997524945
35,141,387350,2747.16312057,4.32945294054
36,150,387550,2583.66666667,4.35115341192
37,140,389650,2783.21428571,4.53597142904
38,143,406350,2841.60839161,4.48234040454
39,142,401100,2824.64788732,4.45814249259
40,144,399050,2771.18055556,4.41885473102
41,140,399650,2854.64285714,4.28980204831
42,149,402250,2699.66442953,4.33527105432
43,146,408500,2797.94520548,4.3356031389
44,147,403100,2742.17687075,4.32164873474
45,145,413300,2850.34482759,4.40699986364
46,144,409150,2841.31944444,4.32249216131
47,143,413100,2888.81118881,4.38641627401
48,146,412500,2825.34246575,4.38171053051
49,154,408100,2650.0,4.36392148037
50,144,400800,2783.33333333,4.41778426607
51,146,426250,2919.52054795,4.30337461868
52,134,424950,3171.26865672,4.36287908152
53,142,426000,3000.0,4.32174119377
54,147,424650,2888.7755102,4.28917421831
55,144,423650,2942.01388889,4.27913898685
56,140,431400,3081.42857143,4.28475488852
57,143,423300,2960.13986014,4.3146949499
58,139,435050,3129.85611511,4.46285911012
59,135,436650,3234.44444444,4.38181773011
60,141,439750,3118.79432624,4.37909034356
61,139,428300,3081.29496403,4.38541052166
62,142,449150,3163.02816901,4.42981634569
63,144,444650,3087.84722222,4.40798431918
64,144,433750,3012.15277778,4.34170865783
65,139,448450,3226.25899281,4.2985079044
66,137,458450,3346.35036496,4.39839701765
67,133,451900,3397.7443609,4.42624753618
68,136,443250,3259.19117647,4.38823091968
69,135,447000,3311.11111111,4.49745900843
70,138,449400,3256.52173913,4.47263655133
71,134,454000,3388.05970149,4.45249620901
72,145,432550,2983.10344828,4.51478954932
73,141,457400,3243.97163121,4.48478919427
74,133,469700,3531.57894737,4.4984918718
75,138,455350,3299.63768116,4.43650622135
76,129,475250,3684.10852713,4.5021926902
77,135,470000,3481.48148148,4.48345924367
78,138,461300,3342.75362319,4.49834244882
79,134,465900,3476.86567164,4.54094382796
80,125,486450,3891.6,4.50839297263
81,133,481200,3618.04511278,4.54923032925
82,127,468200,3686.61417323,4.53579923151
83,130,495350,3810.38461538,4.48637532625
84,125,514000,4112.0,4.55756451411
85,136,485900,3572.79411765,4.61956218619
86,139,470800,3387.05035971,4.55255206374
87,133,481550,3620.67669173,4.44307249215
88,124,507500,4092.74193548,4.49070293393
89,129,485550,3763.95348837,4.57111751259
90,131,485600,3706.87022901,4.55787285296
