epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,142,1037000,7302.81690141,0.631717173308
2,181,1146600,6334.80662983,1.05263503483
3,118,1424500,12072.0338983,1.47160894689
4,132,1440300,10911.3636364,1.58751832348
5,99,1610700,16269.6969697,1.66729977982
6,150,1236200,8241.33333333,1.74511165519
7,200,868300,4341.5,1.77419402339
8,130,1362600,10481.5384615,1.76927129709
9,139,1400100,10072.6618705,1.79353669842
10,107,1488100,13907.4766355,1.66987785619
11,125,1553100,12424.8,1.57624153277
12,118,1455900,12338.1355932,1.57966470605
13,131,1348100,10290.8396947,1.56677255092
14,150,1319500,8796.66666667,1.55605434809
15,141,1369300,9711.34751773,1.55702171015
16,130,1374500,10573.0769231,1.55660499717
17,115,1750300,15220.0,1.54761564676
18,107,1801400,16835.5140187,1.54351402319
19,100,1519100,15191.0,1.55265423378
20,76,1778800,23405.2631579,1.60949301824
21,153,1270400,8303.26797386,1.61805273378
22,105,1605600,15291.4285714,1.63120216775
23,80,1780300,22253.75,1.70656080515
24,65,1890700,29087.6923077,1.76552865337
25,81,1879400,23202.4691358,1.84111043164
26,111,1561000,14063.0630631,1.86384419973
27,73,1913800,26216.4383562,1.89773669055
28,65,1931500,29715.3846154,1.93916418222
29,65,1962000,30184.6153846,1.98150115692
30,51,2032900,39860.7843137,1.99944397799
31,54,2073100,38390.7407407,2.11215243243
32,65,1827900,28121.5384615,2.12695821997
33,66,1790200,27124.2424242,2.16799090355
34,45,2045100,45446.6666667,2.22292528739
35,56,1919100,34269.6428571,2.20531173836
36,50,1988500,39770.0,2.18618914369
37,46,2056100,44697.826087,2.25280921636
38,40,2157300,53932.5,2.29151165521
39,44,1999900,45452.2727273,2.31378081268
40,34,2436100,71650.0,2.34773912725
41,47,2053600,43693.6170213,2.37491154301
42,36,2406300,66841.6666667,2.41946702131
43,4,177700,44425.0,2.43608666702
44,3,183000,61000.0,2.53685498701
45,4,381600,95400.0,2.49549020353
46,4,107000,26750.0,2.47156722358
47,6,469800,78300.0,2.48213224842
48,5,297900,59580.0,2.51295212082
49,1,3878600,3878600.0,2.57510607975
50,4,451200,112800.0,2.73693132434
51,1,80900,80900.0,2.71038326483
52,3,1068100,356033.333333,2.7603047444
53,1,242600,242600.0,2.66247534213
54,4,897600,224400.0,2.71643302868
55,1,3879900,3879900.0,2.7218971232
56,1,3977900,3977900.0,2.77276791118
57,1,3739300,3739300.0,2.8680194623
58,2,755000,377500.0,2.86197404096
59,8,2045200,255650.0,2.99677606705
60,5,409200,81840.0,2.96331700973
61,2,783400,391700.0,3.04808205807
62,1,27800,27800.0,3.05602794796
63,2,140900,70450.0,3.08706684923
64,1,3571300,3571300.0,3.19949970742
65,1,3809400,3809400.0,3.28049256701
66,1,3781800,3781800.0,3.36044638313
67,1,63200,63200.0,3.34297850595
68,2,51800,25900.0,3.34868947895
69,1,3721800,3721800.0,3.35124270974
70,2,828200,414100.0,3.30416562042
71,1,3872200,3872200.0,3.27985233691
72,1,3696100,3696100.0,3.42281152541
73,1,3677600,3677600.0,3.47206324875
74,1,3648400,3648400.0,3.43418944267
75,1,3955900,3955900.0,3.45703668209
76,1,3921400,3921400.0,3.45737276127
77,1,28800,28800.0,3.30177769225
78,1,3906500,3906500.0,3.26185529765
79,1,3745100,3745100.0,3.25513562201
80,1,3800700,3800700.0,3.20548987403
81,2,73600,36800.0,3.15693355974
82,1,7300,7300.0,3.12355462074
83,1,238100,238100.0,3.18526709853
84,1,3525900,3525900.0,3.02702682363
85,1,3885000,3885000.0,3.08015375725
86,1,3968500,3968500.0,3.04628845811
87,3,52200,17400.0,3.00903899101
88,1,34700,34700.0,2.8929100457
89,1,6700,6700.0,2.73221517033
90,1,31600,31600.0,2.72739568558
91,1,36600,36600.0,2.67961942235
92,1,3753400,3753400.0,2.76210530302
93,1,3815700,3815700.0,2.88523719884
94,1,3906100,3906100.0,2.84056617813
95,1,19100,19100.0,2.94195080602
96,1,43100,43100.0,2.89534228394
97,1,3636000,3636000.0,2.95793430343
98,1,18000,18000.0,2.96763192748
99,1,53900,53900.0,2.89790921123
100,1,24300,24300.0,2.77854002966
101,2,89100,44550.0,2.79436151472
102,1,30800,30800.0,2.74164095584
103,1,27900,27900.0,2.65470235987
104,1,19300,19300.0,2.70520769155
105,1,3916800,3916800.0,2.70427729924
106,1,13500,13500.0,2.69357410052
107,1,3821100,3821100.0,2.6758580483
108,1,3668600,3668600.0,2.59943752834
109,1,3875800,3875800.0,2.50704793479
110,1,3549600,3549600.0,2.60206454522
111,3,40100,13366.6666667,2.59418510929
112,1,8000,8000.0,2.63420609264
113,1,15300,15300.0,2.47559131275
114,1,3587600,3587600.0,2.44504151158
115,1,3623000,3623000.0,2.45124239977
116,1,3546700,3546700.0,2.46360355343
117,1,18700,18700.0,2.63643089032
118,1,3610500,3610500.0,2.74726471892
119,1,16700,16700.0,2.85077348359
120,1,15800,15800.0,2.91312238971
121,2,43600,21800.0,2.72642086993
122,1,3630400,3630400.0,2.73481146499
123,1,3704000,3704000.0,2.73611976462
124,2,53100,26550.0,2.76616747421
125,1,3818000,3818000.0,2.69802417221
126,1,3645600,3645600.0,2.68483690064
127,1,28200,28200.0,2.73004541504
128,1,47400,47400.0,2.72956882724
129,1,3677200,3677200.0,2.71621412205
130,1,3876500,3876500.0,2.5689298631
131,1,28400,28400.0,2.51059111051
132,1,3562100,3562100.0,2.5600610859
133,1,3612100,3612100.0,2.61566103855
134,1,35000,35000.0,2.5260466443
