epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,199,807700,4058.79396985,0.806351900101
2,197,820600,4165.4822335,1.02033865452
3,230,630700,2742.17391304,1.14058125019
4,239,634500,2654.81171548,1.20601642132
5,232,640300,2759.9137931,1.20898079928
6,236,605500,2565.6779661,1.13244152069
7,235,620100,2638.72340426,0.992325007915
8,195,824200,4226.66666667,0.843679983057
9,239,642600,2688.70292887,0.767284929752
10,233,630200,2704.72103004,0.71546536684
11,199,781800,3928.64321608,0.663982331753
12,228,643900,2824.12280702,0.653057277203
13,233,614100,2635.6223176,0.655529618263
14,237,638200,2692.82700422,0.644003033638
15,194,817600,4214.43298969,0.653450906277
