epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,108,1637600,15162.962963,0.807139542527
2,125,1634500,13076.0,1.17213044277
3,127,1509600,11886.6141732,1.54900497861
4,130,1246800,9590.76923077,1.72070602923
5,90,1780000,19777.7777778,1.75149863856
6,111,1376800,12403.6036036,1.80297119781
7,111,1491800,13439.6396396,1.83657194623
8,101,1542100,15268.3168317,1.98208661003
9,116,1369700,11807.7586207,2.0331614023
10,106,1425700,13450.0,2.07994698577
11,108,1479000,13694.4444444,2.08861861577
12,86,1760800,20474.4186047,2.06286994988
13,78,1787900,22921.7948718,2.0370543856
14,95,1695700,17849.4736842,2.07056969929
15,117,1408500,12038.4615385,2.12410727645
16,100,1594000,15940.0,2.00536760123
17,121,1400700,11576.0330579,2.03106767675
18,87,1625100,18679.3103448,2.04322880415
19,67,1955000,29179.1044776,2.06249522707
20,109,1424700,13070.6422018,1.97915717029
21,83,1618800,19503.6144578,2.05955410855
22,70,1772700,25324.2857143,2.05159133711
23,118,1408000,11932.2033898,2.04602728266
24,65,1975800,30396.9230769,2.0904241986
25,76,1713300,22543.4210526,2.15657520108
26,50,2299200,45984.0,2.18170831646
27,68,1869700,27495.5882353,2.23707623246
28,50,2273300,45466.0,2.28446782304
29,57,2097700,36801.754386,2.32065479322
30,74,1628500,22006.7567568,2.31578475052
31,61,1800700,29519.6721311,2.28586157019
32,73,1783500,24431.5068493,2.37201734518
33,56,2005500,35812.5,2.35895400502
34,76,1611200,21200.0,2.30263174721
35,48,2219200,46233.3333333,2.41300507059
36,48,2138200,44545.8333333,2.41329367645
37,52,2014400,38738.4615385,2.39945362314
38,48,2065900,43039.5833333,2.4434461814
39,38,2424600,63805.2631579,2.42595626221
40,48,1982100,41293.75,2.43622140466
41,47,2191600,46629.787234,2.47497243388
42,45,2062300,45828.8888889,2.44758482448
43,39,2306000,59128.2051282,2.39707878491
44,39,2431000,62333.3333333,2.40191646695
45,41,2362400,57619.5121951,2.50252240861
46,48,2008200,41837.5,2.51958672245
47,45,1989500,44211.1111111,2.56870837014
48,38,2518400,66273.6842105,2.50297626577
49,44,2211300,50256.8181818,2.54722201368
50,37,2489100,67272.972973,2.53079284818
51,36,2393900,66497.2222222,2.61829648617
52,39,2278900,58433.3333333,2.58046289549
53,45,1971900,43820.0,2.64144635218
54,43,2177900,50648.8372093,2.68347288174
55,42,2210100,52621.4285714,2.63837529583
56,38,2404500,63276.3157895,2.56709342244
57,40,2324000,58100.0,2.47428978833
58,39,2353100,60335.8974359,2.39605410185
59,37,2389500,64581.0810811,2.39139894061
60,40,2289400,57235.0,2.42051529516
61,38,2389200,62873.6842105,2.47758895956
62,38,2361300,62139.4736842,2.49598327759
63,32,2472100,77253.125,2.49542778731
64,40,2158800,53970.0,2.41189421196
65,48,1864300,38839.5833333,2.45800742025
66,39,2280800,58482.0512821,2.43398225167
67,34,2391800,70347.0588235,2.42515713724
68,37,2200300,59467.5675676,2.46309021358
69,39,2279000,58435.8974359,2.41989713128
70,43,2258100,52513.9534884,2.37525022957
71,28,2522300,90082.1428571,2.41270656228
72,38,2243400,59036.8421053,2.39304409348
73,54,1929300,35727.7777778,2.38176162932
74,30,2534900,84496.6666667,2.45160333438
75,31,2458900,79319.3548387,2.42498760466
76,30,2528000,84266.6666667,2.42886626279
77,33,2412100,73093.9393939,2.40617727521
78,37,2396900,64781.0810811,2.44418493237
79,28,2547100,90967.8571429,2.39021187559
80,45,2086100,46357.7777778,2.41990693889
81,16,2939300,183706.25,2.40553525015
82,65,1713500,26361.5384615,2.53677129251
83,32,2421000,75656.25,2.50279274217
84,17,2888100,169888.235294,2.53771923462
85,42,2132800,50780.952381,2.52909811395
86,25,2569600,102784.0,2.57706272737
87,30,2597900,86596.6666667,2.47042720332
88,57,1933300,33917.5438596,2.39982455013
89,33,2382300,72190.9090909,2.52049691265
90,23,2689300,116926.086957,2.52365768828
91,32,2342900,73215.625,2.52816871819
92,18,2974700,165261.111111,2.57224164586
93,30,2443700,81456.6666667,2.50614292535
94,18,2830500,157250.0,2.54527067823
95,22,2374200,107918.181818,2.60092194699
96,27,2586500,95796.2962963,2.54523700307
97,8,2872300,359037.5,2.52145500455
98,29,2539800,87579.3103448,2.54298103358
99,28,2533900,90496.4285714,2.59612205271
100,17,2576400,151552.941176,2.56501480359
101,19,2502700,131721.052632,2.59897577185
102,3,3600800,1200266.66667,2.55478369272
103,5,3122000,624400.0,2.5564987607
104,9,2817900,313100.0,2.53724242106
105,28,2667800,95278.5714286,2.54311268382
106,5,2555000,511000.0,2.54693400698
107,1,3571900,3571900.0,2.60191415593
108,2,3314200,1657100.0,2.65345185923
109,1,3464600,3464600.0,2.71865277328
110,12,1413900,117825.0,2.79068458266
111,2,117100,58550.0,2.83750610121
112,5,636200,127240.0,2.71911166291
113,1,3481900,3481900.0,2.63095593022
114,1,3590800,3590800.0,2.601225837
115,1,3475800,3475800.0,2.60251754986
116,1,3358800,3358800.0,2.63879243079
117,6,260700,43450.0,2.69565305801
118,2,3804600,1902300.0,2.79045997613
119,2,708800,354400.0,2.86890482458
120,1,47100,47100.0,2.92087447344
121,1,3754700,3754700.0,2.96152703952
122,2,252000,126000.0,3.18427199663
123,1,3758200,3758200.0,3.24692042673
124,1,3766600,3766600.0,3.24979185196
125,1,3660400,3660400.0,3.32183478424
126,5,321600,64320.0,3.27090662451
127,1,15300,15300.0,3.18689045467
128,1,55300,55300.0,3.03528558369
129,1,3514500,3514500.0,3.0791540341
130,4,230800,57700.0,2.91289511198
131,3,65100,21700.0,2.89192057026
132,5,184400,36880.0,2.8920837737
133,11,566000,51454.5454545,2.96475537115
134,1,3460900,3460900.0,2.98732416874
135,3,83500,27833.3333333,2.95151694686
136,7,272700,38957.1428571,2.88406904554
137,2,56900,28450.0,2.69224981772
138,5,71900,14380.0,2.60691801227
139,2,131900,65950.0,2.54361377213
140,1,4053100,4053100.0,2.55306785519
141,3,80200,26733.3333333,2.52421438395
142,1,4199900,4199900.0,2.63423216323
143,3,167200,55733.3333333,2.69674656084
144,1,3711200,3711200.0,2.90809705299
145,3,28200,9400.0,2.89924202184
146,1,3897400,3897400.0,2.86733924304
147,3,78400,26133.3333333,2.84876189918
148,2,27000,13500.0,2.67385628196
