epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,779,801,1.02824133504,0.471784459015
2,181,3713,20.5138121547,1.07538513996
3,128,4488,35.0625,1.47136568964
4,134,4153,30.9925373134,1.81181062508
5,100,5506,55.06,2.21716757641
6,105,5842,55.6380952381,2.42698436073
7,104,5918,56.9038461538,2.75338582774
8,101,6029,59.6930693069,2.89545078035
9,107,5588,52.2242990654,2.976405679
10,108,5349,49.5277777778,3.03045672627
11,101,5412,53.5841584158,3.07124459548
12,115,6113,53.1565217391,3.18135688884
13,108,5632,52.1481481481,3.21777961552
14,100,7213,72.13,3.18804630516
15,130,5109,39.3,3.08845784683
16,101,8159,80.7821782178,3.12098586245
17,92,7882,85.6739130435,3.14301356173
18,112,5250,46.875,3.12616539554
19,130,4370,33.6153846154,3.24135236231
20,128,6101,47.6640625,3.19835942198
21,135,4663,34.5407407407,3.29395843411
22,105,7481,71.2476190476,3.26352145188
23,206,3761,18.2572815534,3.22430395124
