epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,70,-49,-0.7,0.07417547588
2,70,2,0.0285714285714,0.579499274211
3,70,26,0.371428571429,1.2914170439
4,70,-231,-3.3,1.69057024472
5,70,29,0.414285714286,1.87216154307
6,70,722,10.3142857143,2.05777195333
7,70,215,3.07142857143,2.15420300897
8,70,942,13.4571428571,2.20661442168
9,70,1504,21.4857142857,2.30937961783
10,70,1211,17.3,2.35691737495
11,70,1128,16.1142857143,2.39772311401
12,70,1328,18.9714285714,2.43201208392
13,70,1927,27.5285714286,2.45922649445
14,70,2142,30.6,2.64278856859
15,70,2524,36.0571428571,2.72213868957
16,72,2085,28.9583333333,2.89680341328
17,71,1258,17.7183098592,2.94037268665
18,73,2090,28.6301369863,3.1495779689
19,74,2635,35.6081081081,3.34085373688
20,73,2749,37.6575342466,3.55074633695
21,72,2017,28.0138888889,3.82682484735
22,70,1236,17.6571428571,4.07000496946
23,78,2430,31.1538461538,4.17924025714
24,77,2445,31.7532467532,4.41516602539
25,75,1946,25.9466666667,4.53255760022
26,96,5919,61.65625,4.59264805213
27,82,4075,49.6951219512,4.81302670032
28,82,3558,43.3902439024,4.88049348615
29,83,3431,41.3373493976,5.11681224309
30,113,7821,69.2123893805,5.18218193024
31,102,6460,63.3333333333,5.59200752668
32,101,6008,59.4851485149,5.98033977702
33,124,9534,76.8870967742,6.54387852445
34,136,10346,76.0735294118,6.97800929479
35,140,11286,80.6142857143,7.56436129645
36,151,12325,81.6225165563,8.30486276165
37,138,11360,82.3188405797,9.00399005055
38,148,12074,81.5810810811,9.7674176684
39,149,12614,84.6577181208,10.2743062867
40,162,14006,86.4567901235,10.6780562538
41,159,13550,85.2201257862,11.0070034888
42,160,13429,83.93125,11.0713745263
43,151,12035,79.701986755,10.9540276343
44,156,13161,84.3653846154,10.7984625471
45,167,14487,86.748502994,10.9447180344
46,161,13661,84.850931677,11.0522676329
47,175,15524,88.7085714286,10.8107037903
48,182,16296,89.5384615385,10.957949758
49,166,14041,84.5843373494,11.2007319978
50,165,14032,85.0424242424,11.203696136
51,176,15457,87.8238636364,11.1905577254
52,176,15366,87.3068181818,11.3747695383
53,174,15203,87.3735632184,11.1616123183
54,180,15826,87.9222222222,11.614451611
55,179,15749,87.9832402235,11.3727523036
56,188,16756,89.1276595745,11.2008004485
57,188,16752,89.1063829787,11.2915171315
58,194,17525,90.3350515464,11.41836008
59,199,18076,90.8341708543,11.2142062978
60,193,17093,88.5647668394,10.9510131057
61,199,18117,91.040201005,10.8209939034
62,190,17132,90.1684210526,10.7784683409
63,200,18208,91.04,10.9536956117
64,197,17947,91.1015228426,11.0579918388
65,200,18291,91.455,11.4902356115
66,206,18761,91.072815534,11.3729860739
67,198,17967,90.7424242424,11.5032995292
68,212,19451,91.75,11.3641825075
69,196,17648,90.0408163265,11.0707415544
70,200,18001,90.005,11.1678050431
71,201,18210,90.5970149254,11.1999925248
72,200,17927,89.635,11.3435422858
73,205,18336,89.443902439,11.5111004584
74,214,19542,91.3177570093,11.5562366933
75,210,19112,91.0095238095,11.5759626184
76,209,19002,90.9186602871,11.7062287913
77,214,19839,92.7056074766,11.9477824178
78,213,19640,92.20657277,11.8670073248
79,214,19645,91.7990654206,11.6035262958
80,210,19215,91.5,11.3962775311
81,204,18439,90.387254902,11.1668997903
82,204,18355,89.9754901961,10.9645492154
83,211,19360,91.7535545024,10.8274752987
84,217,19985,92.0967741935,10.7230090047
85,213,19521,91.6478873239,10.6477646798
86,220,20437,92.8954545455,10.4584450917
87,215,19717,91.7069767442,10.5321042024
88,211,19322,91.5734597156,10.5356093311
89,211,19367,91.7867298578,10.4790148052
90,223,20729,92.9551569507,10.3241941836
91,226,21209,93.8451327434,10.4864593642
92,217,20093,92.5944700461,10.3843843388
93,215,19867,92.4046511628,10.3539759085
94,217,20088,92.5714285714,10.3376046527
95,221,20573,93.0904977376,10.5671287435
96,220,20328,92.4,10.5989658257
97,220,20254,92.0636363636,10.7935095483
98,227,21265,93.6784140969,10.6075944167
99,224,20788,92.8035714286,10.457340411
100,213,19581,91.9295774648,10.213761281
101,217,20156,92.8847926267,9.83834358351
102,214,19598,91.5794392523,9.60271712597
103,211,19470,92.2748815166,9.63750820065
104,214,19889,92.9392523364,9.51493178976
105,208,19080,91.7307692308,9.59185829977
106,211,19614,92.9573459716,9.5135298384
107,204,18712,91.7254901961,9.43172338151
108,204,18851,92.4068627451,9.49002034035
109,213,19879,93.3286384977,9.58823521197
110,211,19524,92.5308056872,9.43783415269
111,207,19124,92.38647343,9.42176073397
112,210,19429,92.519047619,9.66696863117
113,214,19918,93.0747663551,9.88668725021
114,207,19184,92.6763285024,9.91134322392
115,212,19740,93.1132075472,9.8913472612
116,209,19332,92.4976076555,9.99568187851
117,223,20788,93.2197309417,9.95417832887
118,217,20286,93.4838709677,10.0841877962
119,222,20911,94.1936936937,10.2055898675
120,216,20057,92.8564814815,10.3522546362
121,215,19982,92.9395348837,10.4096694027
122,213,19986,93.8309859155,10.7101305231
123,221,20810,94.1628959276,10.7642797253
124,216,20296,93.962962963,10.7405041821
125,214,20006,93.4859813084,11.0428406681
126,213,19920,93.5211267606,11.0844474788
127,214,20076,93.8130841121,11.1304495731
128,218,20496,94.0183486239,11.1482854768
129,210,19746,94.0285714286,11.2606491891
130,210,19701,93.8142857143,11.1614103474
131,220,20689,94.0409090909,11.0769225001
132,218,20583,94.4174311927,11.1719130694
133,213,20000,93.896713615,11.3940692651
134,216,20291,93.9398148148,11.491530669
135,213,19969,93.7511737089,11.366447283
136,211,19909,94.355450237,11.3178545486
137,217,20487,94.4101382488,11.0982459803
138,227,21582,95.0748898678,11.05654595
139,216,20199,93.5138888889,11.2381722569
140,213,20000,93.896713615,11.2000896889
141,217,20208,93.1244239631,11.3491043369
142,212,19883,93.7877358491,11.4690295413
143,226,21374,94.5752212389,11.6076917589
144,219,20625,94.1780821918,11.5476677074
145,222,20969,94.454954955,11.5478878969
146,224,21157,94.4508928571,11.4026592802
147,227,21482,94.6343612335,11.389910139
148,218,20531,94.1788990826,11.2243975048
149,219,20602,94.0730593607,11.1474444576
150,223,20979,94.0762331839,11.1522677197
151,219,20629,94.196347032,11.0690901485
152,224,21136,94.3571428571,11.0730282587
153,221,20816,94.1900452489,11.3378785387
154,220,20755,94.3409090909,11.4911356611
155,226,21513,95.1902654867,11.4783855274
156,218,20613,94.5550458716,11.5363961606
157,227,21617,95.2290748899,11.6559637997
158,221,20795,94.0950226244,11.6752187126
159,224,21136,94.3571428571,11.6317587039
160,227,21667,95.449339207,11.7104221401
161,224,21215,94.7098214286,11.9654718776
162,229,21854,95.4323144105,11.8904956038
163,228,21739,95.3464912281,11.900926486
164,226,21479,95.0398230088,11.8317308281
165,223,21149,94.8385650224,11.9386677676
166,222,21092,95.009009009,12.0727807342
167,225,21416,95.1822222222,12.0463864555
168,223,21221,95.1614349776,12.1545123446
169,225,21410,95.1555555556,12.1603294788
170,224,21355,95.3348214286,12.1744769055
171,227,21620,95.2422907489,12.0980277929
172,229,21849,95.4104803493,12.200061627
173,231,22152,95.8961038961,12.0341867644
174,223,21295,95.4932735426,12.0659000546
175,230,22031,95.7869565217,12.0702539465
176,226,21527,95.2522123894,12.1120589965
177,225,21446,95.3155555556,12.2903292209
178,226,21557,95.3849557522,12.3170367335
179,219,20845,95.1826484018,12.2958307824
180,220,20942,95.1909090909,12.3130169749
181,226,21574,95.4601769912,12.115025752
182,237,22711,95.8270042194,11.9793078579
183,230,22043,95.8391304348,12.059298248
184,215,20422,94.9860465116,11.961782546
185,219,20750,94.7488584475,11.9204704618
186,227,21586,95.0925110132,11.9373907267
187,229,21850,95.4148471616,11.7005943517
188,230,21974,95.5391304348,11.5327187832
189,229,21790,95.1528384279,11.4620744351
190,222,21086,94.981981982,11.5319585241
191,226,21473,95.0132743363,11.4679125121
192,232,22133,95.400862069,11.4256457523
193,230,21988,95.6,11.6144716817
194,222,21190,95.4504504505,11.6168327495
195,223,21226,95.1838565022,11.8473287244
196,222,21177,95.3918918919,11.9280750029
197,226,21666,95.8672566372,11.9181996594
198,226,21666,95.8672566372,11.7835220657
199,227,21649,95.3700440529,11.9131783292
200,226,21485,95.0663716814,11.811998741
