epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,62,20873,336.661290323,2.41312035937
2,57,20186,354.140350877,2.55859768037
3,65,20434,314.369230769,2.66617394652
4,63,21145,335.634920635,2.77471354689
5,54,21406,396.407407407,2.799421115
6,58,20263,349.362068966,2.80046226408
7,53,19915,375.754716981,2.95088447884
8,56,21409,382.303571429,3.17746621985
9,58,21932,378.137931034,3.08901603304
10,62,21835,352.177419355,3.09150340214
11,62,21872,352.774193548,3.04685396407
12,62,21552,347.612903226,3.04499991812
13,59,22480,381.016949153,3.05042257547
14,63,22096,350.73015873,3.14453562487
15,55,20933,380.6,3.07256642412
16,57,21097,370.122807018,3.07125542603
17,54,20812,385.407407407,2.987609496
18,62,20208,325.935483871,3.11235059716
19,54,18816,348.444444444,3.07632522788
20,54,20475,379.166666667,2.953639207
21,60,20655,344.25,2.97509906292
22,60,21776,362.933333333,2.93374607239
23,59,22304,378.033898305,3.03747557268
24,64,23583,368.484375,3.04634967022
25,56,21788,389.071428571,2.87972548559
26,55,22215,403.909090909,2.94369134363
27,58,21924,378.0,2.92256527875
28,56,20954,374.178571429,2.83248238839
29,58,21472,370.206896552,2.87816476494
30,53,20482,386.452830189,2.89672410849
31,59,22606,383.152542373,2.93224147808
32,61,23182,380.032786885,2.93103187799
33,54,20656,382.518518519,2.93797220051
34,57,21825,382.894736842,2.93792828705
35,57,20746,363.964912281,2.94586658172
36,54,20855,386.203703704,2.88956217252
