epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,298,494,1.65771812081,0.311123926942
2,517,1348,2.60735009671,0.403244409637
3,232,2813,12.125,0.789621609831
4,208,3151,15.1490384615,1.05599040817
5,181,3590,19.8342541436,1.32935216384
6,157,4214,26.8407643312,1.61650153573
7,128,4437,34.6640625,1.91232131493
8,123,4786,38.9105691057,2.07369593095
9,112,4960,44.2857142857,2.24008224139
10,112,5296,47.2857142857,2.37068488686
11,103,5560,53.9805825243,2.44792516687
12,101,6512,64.4752475248,2.54749063886
13,97,6564,67.6701030928,2.64027568244
14,97,7544,77.7731958763,2.66793355314
15,97,6904,71.175257732,2.73044941347
16,90,8362,92.9111111111,2.79871319292
17,93,8429,90.6344086022,2.8382935696
18,89,8793,98.797752809,2.82031443664
19,88,9888,112.363636364,2.81563156847
20,93,9576,102.967741935,2.92451776989
21,86,10057,116.941860465,2.92411037269
22,84,10694,127.30952381,2.96319244531
23,84,11437,136.154761905,2.94995901186
24,80,12504,156.3,2.91363150255
25,83,12492,150.506024096,3.01255398111
26,84,11375,135.416666667,3.00522351087
27,78,13861,177.705128205,3.05029010091
28,79,15056,190.582278481,3.1414209345
29,82,13661,166.597560976,3.09733529238
30,80,14572,182.15,3.19405510926
31,77,14509,188.428571429,3.26599168982
32,84,13703,163.130952381,3.25071961841
33,75,13924,185.653333333,3.18402032708
34,78,15150,194.230769231,3.07468458527
35,84,14008,166.761904762,3.0215593315
36,76,16009,210.644736842,3.00939277874
37,79,15940,201.772151899,3.08044015937
38,76,15192,199.894736842,3.07829772574
39,82,14426,175.926829268,2.86301473758
40,76,16353,215.171052632,3.01885050301
41,75,17317,230.893333333,3.03195690654
42,74,16861,227.851351351,3.05248424723
43,74,17172,232.054054054,3.13754148086
44,75,15841,211.213333333,3.05944340526
45,76,16877,222.065789474,3.04486230404
46,76,17418,229.184210526,3.04232517139
47,78,17439,223.576923077,2.98587306155
48,76,16611,218.565789474,3.06185298083
49,75,16896,225.28,3.00122016789
50,77,17387,225.805194805,2.91959788881
51,75,16867,224.893333333,2.89099538027
52,78,17186,220.333333333,2.96081566757
53,75,17320,230.933333333,2.97536010792
54,76,17840,234.736842105,3.14745089202
55,77,17531,227.675324675,3.08522175856
56,75,17471,232.946666667,3.13448132139
57,82,18457,225.085365854,3.10576704049
58,75,17016,226.88,3.03756333869
59,77,18071,234.688311688,3.05450942523
60,74,17597,237.797297297,2.96294831037
61,75,17787,237.16,3.07716124852
62,75,16803,224.04,3.0367653769
63,74,16430,222.027027027,3.00701186207
64,77,17542,227.818181818,2.97837569743
65,77,17927,232.818181818,2.94077565451
66,75,18325,244.333333333,2.98352975781
67,77,17499,227.25974026,3.07470931516
68,78,17596,225.58974359,3.08034362603
69,76,18241,240.013157895,3.17624239571
70,74,18707,252.797297297,3.20797791233
71,78,18587,238.294871795,3.05119886045
72,79,16638,210.607594937,2.94113439675
73,73,16592,227.287671233,3.00435941196
74,76,17865,235.065789474,2.99741392136
75,76,18251,240.144736842,3.03372057593
76,77,18123,235.363636364,3.06470539887
77,75,17749,236.653333333,3.02576091612
78,78,19307,247.525641026,3.07686802094
79,76,18474,243.078947368,3.07851296384
80,76,18156,238.894736842,3.07412528748
81,76,17424,229.263157895,3.13878461428
82,78,19614,251.461538462,3.02801637572
83,72,18874,262.138888889,3.04931114057
84,78,18858,241.769230769,3.06800431437
85,79,19512,246.987341772,3.14248183943
86,74,18801,254.067567568,3.10090817188
87,77,18554,240.961038961,3.08425428671
88,75,18761,250.146666667,3.05043801296
89,75,18837,251.16,3.06666112544
90,76,18317,241.013157895,3.03188570572
91,79,19565,247.658227848,3.13580238506
92,74,19130,258.513513514,3.06494851121
93,75,19059,254.12,3.05230564125
94,79,21009,265.936708861,3.03196487085
95,79,19650,248.734177215,3.09895765308
96,79,21266,269.189873418,3.0800297321
97,76,20086,264.289473684,3.05529406055
98,74,19724,266.540540541,2.99825348922
99,78,19855,254.551282051,3.13433384418
100,75,19972,266.293333333,3.10340556197
101,74,19906,269.0,3.0939195371
102,77,21122,274.311688312,3.1011318728
103,75,20924,278.986666667,3.06503000778
104,74,20837,281.581081081,3.07615712425
105,73,20494,280.739726027,2.99174860379
106,72,20974,291.305555556,2.99697688899
107,70,20136,287.657142857,2.95570348597
108,73,21906,300.082191781,2.9564325768
109,72,20381,283.069444444,3.03987407705
110,73,21121,289.328767123,3.05609277327
111,72,21597,299.958333333,3.07739663694
112,71,21496,302.76056338,2.9739517249
113,73,20857,285.712328767,3.11963256332
114,76,20166,265.342105263,3.11034457043
