epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,243,172340,709.218106996,0.700609373788
2,252,220140,873.571428571,1.6062162763
3,214,144340,674.485981308,2.25745160405
4,224,283400,1265.17857143,2.97547834519
5,187,239860,1282.67379679,3.4915695179
6,214,345100,1612.61682243,3.86433770328
7,162,235710,1455.0,3.99412728151
8,216,409610,1896.34259259,3.98006200535
9,201,384090,1910.89552239,4.05345819168
10,232,506750,2184.26724138,4.18045407891
11,249,604270,2426.78714859,4.2645581421
12,250,813130,3252.52,4.47372136902
13,240,737830,3074.29166667,4.61631071174
14,239,581310,2432.25941423,4.91579739393
15,241,924190,3834.81327801,5.21130119724
16,267,994700,3725.46816479,5.16399460283
17,274,1248470,4556.45985401,5.20665540407
18,278,1218470,4382.98561151,5.44299318762
19,363,1649930,4545.26170799,5.86779114896
20,333,1401110,4207.53753754,6.21156969727
21,342,1493910,4368.15789474,6.58679761473
22,405,1830120,4518.81481481,6.78490557007
23,416,1963130,4719.0625,6.81062253978
24,461,2119680,4598.00433839,6.99497760324
25,444,1928500,4343.46846847,7.28060865564
26,487,2241120,4601.88911704,7.32286141451
27,502,2399660,4780.19920319,7.44229881232
28,471,2168740,4604.54352442,7.52124325347
29,518,2455670,4740.67567568,7.6569232936
30,505,2381130,4715.10891089,7.8216113923
31,533,2582860,4845.89118199,7.75916313914
32,538,2658720,4941.85873606,7.88749604976
33,526,2538320,4825.70342205,7.77265055801
34,531,2614200,4923.16384181,7.7951275526
35,533,2674910,5018.59287054,7.75710677631
36,535,2621770,4900.5046729,7.94720151225
37,543,2591970,4773.42541436,7.89399384941
38,537,2613070,4866.05214153,7.84730750581
39,536,2854940,5326.38059701,7.93123534335
40,535,2724110,5091.79439252,7.83800829773
41,539,2667260,4948.53432282,7.90312180048
42,550,2876740,5230.43636364,7.88982688557
43,548,2857570,5214.54379562,7.79005760335
44,548,2755820,5028.86861314,7.80916534289
45,546,2754680,5045.2014652,7.73481215018
46,516,2638020,5112.44186047,7.86904307111
47,544,2797990,5143.36397059,7.73287500932
48,556,2863890,5150.88129496,7.53032171813
49,549,2852280,5195.40983607,7.59481176923
50,546,2776380,5084.94505495,7.5164816731
51,551,3029660,5498.47549909,7.60364918245
52,546,2886820,5287.21611722,7.67496436917
53,565,3042980,5385.80530973,7.69183884761
54,555,2908920,5241.2972973,7.49413242513
55,557,3039520,5456.94793537,7.55126008434
56,556,3015460,5423.48920863,7.63273973134
57,549,2992530,5450.87431694,7.63112797574
58,554,3082140,5563.42960289,7.61058175823
59,555,3052370,5499.76576577,7.65658400751
60,559,3047430,5451.57423971,7.70459343425
61,557,3067210,5506.66068223,7.7920803369
62,554,2954670,5333.33935018,7.74629866027
63,560,3138710,5604.83928571,7.72567937235
64,555,3041290,5479.8018018,7.71940193174
65,552,3055310,5534.98188406,7.72740411747
66,556,3115900,5604.13669065,7.70654966939
67,561,3149960,5614.90196078,7.63927402338
68,564,3161350,5605.23049645,7.61103106897
69,558,3125810,5601.81003584,7.48325226387
70,556,3054630,5493.93884892,7.59211944321
71,561,3140630,5598.27094474,7.44861340297
72,561,3116340,5554.97326203,7.55124941505
73,559,3090420,5528.47942755,7.53886906158
74,542,2942850,5429.61254613,7.50089932527
75,560,3146100,5618.03571429,7.66245764577
76,562,3156240,5616.08540925,7.78439270052
77,560,3089470,5516.91071429,7.84753788651
78,562,3120170,5551.90391459,7.90529117825
79,556,3062110,5507.39208633,7.86833143644
80,562,3175160,5649.75088968,7.90079646935
81,558,3103980,5562.68817204,7.71677027359
82,553,3005870,5435.56962025,7.64671465738
83,559,3103290,5551.50268336,7.71544518999
84,561,3116610,5555.45454545,7.75600672067
85,562,3166560,5634.44839858,7.83847928508
86,560,3087730,5513.80357143,7.76457214559
87,561,3160300,5633.33333333,7.74142462257
88,565,3183410,5634.3539823,7.78799765919
89,555,3107650,5599.36936937,7.95776813697
90,552,3048040,5521.8115942,7.96484986048
91,543,3038500,5595.76427256,7.989178262
92,563,3148080,5591.61634103,8.02501296015
93,562,3168790,5638.41637011,7.99487260757
94,562,3142700,5591.99288256,7.9212214683
95,564,3136670,5561.47163121,7.92811278597
96,561,3152940,5620.21390374,7.81386247594
97,567,3223820,5685.74955908,7.64761192256
98,562,3147370,5600.3024911,7.62798087208
99,555,3089730,5567.08108108,7.66969450649
100,560,3123470,5577.625,7.71701353915
101,558,3114930,5582.31182796,7.66162266087
102,557,3125740,5611.74147217,7.58232292304
103,563,3183690,5654.86678508,7.5273923737
104,565,3095220,5478.26548673,7.53954096546
105,561,3135120,5588.44919786,7.60794165895
106,565,3135700,5549.91150442,7.68622017992
107,563,3118800,5539.60923623,7.80084673484
108,568,3205840,5644.08450704,7.85158925495
109,569,3166720,5565.41300527,7.8952063978
110,563,3135240,5568.80994671,7.8672508603
111,565,3204610,5671.87610619,7.92371747619
112,562,3143210,5592.90035587,7.85739349154
113,563,3154140,5602.38010657,7.84522891603
114,566,3185480,5628.0565371,7.84314746754
115,565,3197090,5658.56637168,7.7155100253
116,564,3161300,5605.14184397,7.75518304755
117,555,3096990,5580.16216216,7.7276987425
118,563,3145500,5587.03374778,7.6699263642
