epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,198,138400,698.98989899,0.83905741768
2,258,172520,668.682170543,1.73614161663
3,210,188360,896.952380952,2.55280811094
4,209,131920,631.196172249,3.12823510317
5,242,201740,833.636363636,3.52157117065
6,219,205060,936.347031963,3.74577228266
7,226,246820,1092.12389381,3.99158349021
8,220,242240,1101.09090909,4.12199678263
9,184,171120,930.0,4.02299666429
10,201,213740,1063.38308458,4.05355972833
11,216,277740,1285.83333333,4.08402756645
12,185,226940,1226.7027027,3.88529403327
13,184,241960,1315.0,3.95354680414
14,163,225960,1386.25766871,3.82389391825
15,180,257390,1429.94444444,3.86939816614
16,169,256650,1518.63905325,3.87750676889
17,172,293660,1707.3255814,3.93810819601
18,167,351200,2102.99401198,3.86743007296
19,155,265100,1710.32258065,3.94076470271
20,178,514170,2888.59550562,3.89531545975
21,193,550750,2853.62694301,3.92857248117
22,186,471770,2536.39784946,4.08748192657
23,201,659740,3282.28855721,4.22626735535
24,204,644230,3157.99019608,4.30370179844
25,222,689920,3107.74774775,4.71751627353
26,210,696580,3317.04761905,4.6982226682
27,203,658940,3246.00985222,4.79462757296
28,207,872510,4215.02415459,4.87560923433
29,207,754180,3643.38164251,5.0402689506
30,240,1046850,4361.875,5.21437193724
31,257,1024220,3985.29182879,5.35752569245
32,252,1020390,4049.16666667,5.77102543027
33,250,1091890,4367.56,5.74832230817
34,262,1137830,4342.86259542,5.92804308884
35,310,1404550,4530.80645161,5.98863417146
36,287,1260490,4391.95121951,6.18355028035
37,304,1400670,4607.46710526,6.3574207963
38,304,1393200,4582.89473684,6.31151746941
39,327,1501830,4592.75229358,6.51435446083
40,346,1662140,4803.87283237,6.77982062121
41,343,1648420,4805.88921283,7.09272516588
42,349,1649820,4727.27793696,7.11894422518
43,312,1415810,4537.8525641,7.16780322272
44,340,1663810,4893.55882353,7.27132449523
45,361,1712310,4743.24099723,7.43187543008
46,350,1665210,4757.74285714,7.48048122423
47,353,1662340,4709.17847025,7.45386212777
48,355,1675430,4719.52112676,7.42858839144
49,363,1738580,4789.47658402,7.47531264148
50,361,1684880,4667.25761773,7.55976680466
51,361,1722710,4772.0498615,7.7871991845
52,386,1862280,4824.55958549,7.88679942653
53,375,1778040,4741.44,7.98182762959
54,360,1702400,4728.88888889,7.96978823634
55,381,1830840,4805.35433071,8.02976556124
56,387,1870180,4832.50645995,7.91339698148
57,386,1872350,4850.64766839,7.88205175332
58,392,1882590,4802.5255102,7.83227056898
59,390,1927570,4942.48717949,7.97465996759
60,384,1860560,4845.20833333,7.91940638627
61,377,1832270,4860.13262599,7.9512867849
62,392,1863040,4752.65306122,8.13707223076
