epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,46,43085,936.630434783,1.52953068946
2,46,38280,832.173913043,1.96107377507
3,46,43995,956.413043478,2.33034451123
4,46,41345,898.804347826,2.77022967052
5,46,66775,1451.63043478,3.40219474509
6,46,47880,1040.86956522,3.56054597877
7,46,68960,1499.13043478,3.59954793397
8,46,80155,1742.5,3.84614841338
9,46,70540,1533.47826087,4.09419851538
10,46,64900,1410.86956522,4.22607538659
11,46,74605,1621.84782609,4.2738140174
12,46,80160,1742.60869565,4.08101135734
13,46,90470,1966.73913043,4.23464769509
14,46,88830,1931.08695652,4.10105660342
15,46,88345,1920.54347826,4.2105930851
16,46,87575,1903.80434783,4.25360028099
17,46,87570,1903.69565217,4.29836168546
18,46,90535,1968.15217391,4.25955070384
19,46,101115,2198.15217391,4.23248994824
20,46,94445,2053.15217391,4.19767662458
21,46,94290,2049.7826087,4.11237010412
22,46,89595,1947.7173913,4.25023623187
23,46,106065,2305.76086957,4.25266940918
24,46,101315,2202.5,4.20986685775
25,46,105860,2301.30434783,4.29646175642
26,46,114425,2487.5,4.37962257348
27,46,113595,2469.45652174,4.34285887003
28,46,111260,2418.69565217,4.32933658727
29,46,113430,2465.86956522,4.29940809995
30,46,112430,2444.13043478,4.32166789029
31,46,117180,2547.39130435,4.1592373183
32,46,118215,2569.89130435,4.1838040033
33,46,113230,2461.52173913,4.25714059941
34,46,123920,2693.91304348,4.24723872542
35,46,130180,2830.0,4.36305868953
36,46,133525,2902.7173913,4.41263928778
37,46,128670,2797.17391304,4.31977100521
38,46,128635,2796.41304348,4.38246357769
39,46,125135,2720.32608696,4.3092750556
40,46,120965,2629.67391304,4.28795489732
41,46,129300,2810.86956522,4.32102195609
42,46,146440,3183.47826087,4.18317110676
43,46,146580,3186.52173913,4.30669984445
44,46,129915,2824.23913043,4.27274704907
45,46,140385,3051.84782609,4.22762466215
46,46,146100,3176.08695652,4.2300125318
47,46,153305,3332.7173913,4.22518426035
48,46,161505,3510.97826087,4.20998299938
49,46,157255,3418.58695652,4.16393020008
50,46,137635,2992.06521739,4.19013766166
51,46,149055,3240.32608696,4.21210531473
52,46,160765,3494.89130435,4.00402046002
53,46,161770,3516.73913043,3.97786202066
54,46,155580,3382.17391304,4.00675802451
55,46,163065,3544.89130435,4.11098527208
56,46,162575,3534.23913043,4.0466555509
57,46,167760,3646.95652174,4.11084890898
58,46,180265,3918.80434783,4.15969758339
59,46,170270,3701.52173913,4.17870386776
60,46,164500,3576.08695652,4.1528851331
61,46,164010,3565.43478261,4.30763775699
62,46,161445,3509.67391304,4.28422616821
