epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,105,54829,522.180952381,1.56262344332
2,113,60360,534.159292035,2.41266944424
3,119,71980,604.87394958,3.11103394179
4,99,89980,908.888888889,3.73553083506
5,66,114281,1731.53030303,4.27372876382
6,71,89964,1267.09859155,4.58171031891
7,51,126003,2470.64705882,4.7499467586
8,60,107315,1788.58333333,4.90323498666
9,40,132544,3313.6,4.95649245326
10,53,123695,2333.86792453,5.07020620489
11,37,143006,3865.02702703,5.14869000234
12,46,123246,2679.26086957,5.20719586728
13,59,124620,2112.20338983,5.137960231
14,29,110759,3819.27586207,5.08937401092
15,40,139608,3490.2,5.09931604516
16,32,119021,3719.40625,5.04474189257
17,41,132520,3232.19512195,5.01707153206
18,41,141568,3452.87804878,4.98980344791
19,32,120579,3768.09375,4.90351070675
20,34,131927,3880.20588235,4.92002224959
21,28,128775,4599.10714286,4.87657078384
22,54,124494,2305.44444444,4.8911377415
23,24,111342,4639.25,4.93825322089
24,34,123354,3628.05882353,4.92595331298
25,29,140935,4859.82758621,4.9458778122
26,35,128443,3669.8,4.84665527137
27,30,132797,4426.56666667,4.86719347931
28,25,102411,4096.44,4.88696543198
29,20,90118,4505.9,4.8489040343
30,27,102246,3786.88888889,4.7631979167
31,26,116067,4464.11538462,4.85487138213
32,33,120675,3656.81818182,4.9494295658
33,29,104317,3597.13793103,4.90277827776
34,32,135543,4235.71875,5.01954828982
35,26,116871,4495.03846154,4.958655633
36,23,114674,4985.82608696,4.89823147419
37,29,131718,4542.0,4.90662560983
38,22,109436,4974.36363636,4.88688147425
39,33,125278,3796.3030303,4.86095024535
40,28,101979,3642.10714286,4.9001095518
41,28,118124,4218.71428571,4.86481392935
42,19,99992,5262.73684211,4.9208685686
43,21,86532,4120.57142857,5.01619894222
44,26,126652,4871.23076923,4.92767000675
