epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,30,551600,18386.6666667,1.71270612472
2,35,397000,11342.8571429,3.99332038564
3,40,1151300,28782.5,5.86399584088
4,43,1485800,34553.4883721,7.35917612486
5,28,1329900,47496.4285714,8.39398048139
6,38,2000400,52642.1052632,9.29985439804
7,40,1115400,27885.0,10.1076811865
8,17,1262100,74241.1764706,10.8011988884
9,37,2594500,70121.6216216,11.3188924214
10,34,2496700,73432.3529412,11.6176008648
11,35,2750000,78571.4285714,12.0151467748
12,32,2940400,91887.5,12.1434970288
13,30,2338600,77953.3333333,12.3143048442
14,33,3020400,91527.2727273,12.3844283147
15,35,2918600,83388.5714286,12.4924416057
16,34,3057700,89932.3529412,12.4179676252
17,35,3106100,88745.7142857,12.5492455887
18,33,3118400,94496.969697,12.6092714726
19,24,2055900,85662.5,12.6442048769
20,34,3114000,91588.2352941,12.7820449905
21,35,3076300,87894.2857143,12.8621813733
22,33,3015800,91387.8787879,12.8084554424
23,32,3101500,96921.875,12.8924383937
24,34,3247100,95502.9411765,12.9739796596
25,32,3059600,95612.5,13.1265730085
26,34,2927800,86111.7647059,13.0576673743
27,32,3080900,96278.125,13.1686834925
28,33,3125100,94700.0,13.2455117951
29,32,3233700,101053.125,13.2794892856
30,31,3043000,98161.2903226,13.1890552404
31,34,3318900,97614.7058824,13.0827321607
32,32,3248600,101518.75,13.1380361162
33,32,3200400,100012.5,13.0743746301
34,34,3095100,91032.3529412,13.1630635081
35,34,3152900,92732.3529412,13.2533296815
36,33,3180400,96375.7575758,13.1292920726
37,32,3341300,104415.625,13.1142228624
38,33,3267200,99006.0606061,13.0504079425
39,33,3262500,98863.6363636,13.0528179484
40,34,3136000,92235.2941176,13.0675683738
41,34,3091800,90935.2941176,13.2042578535
42,33,3105900,94118.1818182,13.0328886784
43,34,3186600,93723.5294118,13.1169440067
44,32,3271100,102221.875,13.1859842726
45,32,3126600,97706.25,13.215722905
46,34,3181700,93579.4117647,13.2197053954
47,33,3267900,99027.2727273,13.2060516014
48,34,3180200,93535.2941176,13.1912746561
49,33,3306000,100181.818182,13.1232016191
50,33,3211900,97330.3030303,13.1975635899
51,32,3361800,105056.25,13.1649944652
52,33,3342800,101296.969697,12.9738472477
53,32,3417200,106787.5,12.9804382685
54,32,3312800,103525.0,13.0247831181
55,32,3148600,98393.75,13.0980501254
56,31,3441600,111019.354839,12.950477616
57,32,3300600,103143.75,13.0110361951
58,32,3241000,101281.25,13.0071551307
59,32,3391400,105981.25,13.0823980708
60,33,3390200,102733.333333,13.1347004775
61,32,3311100,103471.875,13.2868537856
62,32,3178400,99325.0,13.1927063192
63,32,3294300,102946.875,13.2090058676
64,32,3465200,108287.5,13.212302767
65,32,3298100,103065.625,13.1729921634
66,34,3320000,97647.0588235,13.213793321
67,32,3445300,107665.625,13.2514388341
68,33,3167600,95987.8787879,13.1184838629
69,31,3456100,111487.096774,13.1365827393
70,31,3447200,111200.0,13.156478109
71,32,3408800,106525.0,13.182549825
72,31,3469500,111919.354839,13.2788690575
73,32,3445100,107659.375,13.169432637
74,30,3304100,110136.666667,13.1941355402
75,31,3390100,109358.064516,13.1305346406
76,32,3292100,102878.125,13.2462706728
77,32,3444600,107643.75,13.3232093283
78,33,3451600,104593.939394,13.3149452393
79,31,3452300,111364.516129,13.2946184068
80,32,3315900,103621.875,13.3176609366
81,32,3410300,106571.875,13.2711819212
82,32,3337200,104287.5,13.2918056066
83,31,3229100,104164.516129,13.3317847069
84,31,3412200,110070.967742,13.3079656843
85,33,3401700,103081.818182,13.3872163189
86,32,3316400,103637.5,13.3869086778
87,32,3260200,101881.25,13.2762211236
88,32,3322900,103840.625,13.235373113
89,31,3227500,104112.903226,13.1676445393
90,32,3336300,104259.375,13.3454292112
91,33,3390900,102754.545455,13.2487116767
92,32,3288900,102778.125,13.323585137
93,32,3375100,105471.875,13.3425850945
94,32,3422800,106962.5,13.3210563895
95,31,3425000,110483.870968,13.2980062851
96,32,3371000,105343.75,13.3445486336
97,31,3341600,107793.548387,13.3356025787
98,31,3340400,107754.83871,13.3630971539
99,32,3206000,100187.5,13.300104287
100,30,3190400,106346.666667,13.3521069368
101,31,3258500,105112.903226,13.2658734351
102,32,3369800,105306.25,13.318493327
103,31,3375100,108874.193548,13.2880210729
104,32,3357400,104918.75,13.3992712313
105,33,3416500,103530.30303,13.299742296
106,32,3353300,104790.625,13.2758102638
107,31,3371300,108751.612903,13.2948845293
108,31,3320200,107103.225806,13.2919218002
109,31,3277900,105738.709677,13.2413311527
110,31,3276600,105696.774194,13.2652311231
111,30,3363800,112126.666667,13.2408805108
112,31,3427000,110548.387097,13.3353170028
113,33,3406500,103227.272727,13.3462076923
114,31,3406700,109893.548387,13.3460298708
115,31,3301200,106490.322581,13.3649713419
116,32,3377900,105559.375,13.3278553981
117,31,3344900,107900.0,13.2391488302
118,32,3404200,106381.25,13.310557768
119,31,3424300,110461.290323,13.2509688271
120,32,3261000,101906.25,13.2942069636
121,30,3399200,113306.666667,13.2970028783
122,31,3365800,108574.193548,13.2708692063
123,31,3337200,107651.612903,13.1860541182
124,31,3369400,108690.322581,13.1926853635
125,32,3265700,102053.125,13.0995009557
126,33,3439200,104218.181818,13.1526333096
127,32,3323800,103868.75,13.2663899497
128,31,3353500,108177.419355,13.1345988685
129,32,3465800,108306.25,13.1559179297
130,32,3446200,107693.75,13.2058882365
131,30,3380600,112686.666667,13.1337042086
132,31,3450000,111290.322581,13.2978117317
133,31,3419700,110312.903226,13.264666603
134,31,3512900,113319.354839,13.3019213641
135,32,3436400,107387.5,13.3066572748
136,32,3322600,103831.25,13.2749929072
137,32,3393600,106050.0,13.2447843124
138,31,3267600,105406.451613,13.2547132913
139,31,3292200,106200.0,13.2721582042
140,32,3333300,104165.625,13.2596919449
141,32,3242400,101325.0,13.225142483
142,31,3464400,111754.83871,13.1741695257
143,31,3352500,108145.16129,13.0652203565
144,30,3328600,110953.333333,13.142918659
145,32,3373600,105425.0,13.1659341351
146,32,3411700,106615.625,13.178421444
147,32,3399000,106218.75,13.1602328032
148,31,3399700,109667.741935,13.1791084641
149,32,3405800,106431.25,13.1725817313
150,33,3392700,102809.090909,13.2024861564
151,31,3375900,108900.0,13.1913436276
152,31,3456900,111512.903226,13.315214666
153,30,3468200,115606.666667,13.2379389746
154,32,3389800,105931.25,13.256635647
155,31,3388000,109290.322581,13.314515185
156,31,3324400,107238.709677,13.2547864707
157,31,3507600,113148.387097,13.1864397953
158,32,3403100,106346.875,13.1558852981
159,31,3376000,108903.225806,13.1608006774
160,30,3503500,116783.333333,13.2142455944
161,31,3555600,114696.774194,13.3041857885
162,31,3365000,108548.387097,13.1838879602
163,30,3403200,113440.0,13.2106038772
164,30,3502900,116763.333333,13.2348393629
165,30,3342100,111403.333333,13.1980884382
166,32,3411900,106621.875,13.138233051
167,30,3349200,111640.0,13.1657602098
168,31,3535900,114061.290323,13.2313676723
169,31,3399100,109648.387097,13.2685790127
170,31,3331800,107477.419355,13.1785113466
171,31,3374400,108851.612903,13.1247411966
172,31,3327900,107351.612903,13.1975923365
173,32,3370600,105331.25,13.1722414117
174,31,3488800,112541.935484,13.1626650939
175,32,3372200,105381.25,13.1484944325
176,31,3440000,110967.741935,13.1217517703
177,31,3537400,114109.677419,13.2172299666
178,32,3379000,105593.75,13.3251816969
