epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,40,332500,8312.5,1.36415898753
2,13,180900,13915.3846154,3.2594446735
3,21,433200,20628.5714286,4.95143782539
4,37,822200,22221.6216216,6.29731741286
5,41,1140900,27826.8292683,7.80271641772
6,43,1438100,33444.1860465,8.87677741088
7,44,1316900,29929.5454545,9.65513560197
8,26,1305700,50219.2307692,10.4204624369
9,44,1702800,38700.0,11.1730492041
10,45,1867400,41497.7777778,11.526705992
11,47,1767900,37614.893617,11.7786863675
12,43,2208300,51355.8139535,12.1268126839
13,41,2118500,51670.7317073,12.2248824932
14,43,1899500,44174.4186047,12.4488514722
15,44,1896200,43095.4545455,12.7494325982
16,41,2074700,50602.4390244,12.8107672696
17,44,2131600,48445.4545455,13.0161409242
18,27,1213500,44944.4444444,12.6196735988
19,47,1748100,37193.6170213,12.5570801022
20,44,2007300,45620.4545455,12.5258443489
21,28,912600,32592.8571429,12.2315780531
22,44,1899700,43175.0,12.3293287964
23,46,2063400,44856.5217391,12.4703663732
24,44,2106500,47875.0,12.2574271606
25,44,2256100,51275.0,11.9970512149
26,46,1780700,38710.8695652,12.0676624987
27,38,1827600,48094.7368421,12.1724306182
28,45,2119600,47102.2222222,12.4063327654
29,44,2155600,48990.9090909,12.3284997726
30,40,2380200,59505.0,12.2235564037
31,39,2297700,58915.3846154,12.3000826147
32,45,2225600,49457.7777778,12.1474744034
33,43,2191200,50958.1395349,12.2749283069
34,41,2262900,55192.6829268,12.2937561222
35,41,2234500,54500.0,12.3863698697
36,40,2400500,60012.5,12.5030781775
37,41,2088700,50943.902439,12.3729290658
38,43,2236700,52016.2790698,12.1737249125
39,38,2449200,64452.6315789,12.3211884194
40,42,2191300,52173.8095238,12.5001126233
41,39,2435200,62441.025641,12.3236272617
42,40,2101600,52540.0,12.1754390049
43,41,2259700,55114.6341463,12.6890091678
44,39,2513000,64435.8974359,12.6019271088
45,36,2383700,66213.8888889,12.6682570799
46,36,2530100,70280.5555556,12.3943346291
47,39,2465600,63220.5128205,12.2640209252
48,35,2413400,68954.2857143,12.3749682497
49,43,2406900,55974.4186047,12.2544162174
50,40,2255300,56382.5,12.1554754885
51,36,2364200,65672.2222222,12.0065138701
52,41,2420700,59041.4634146,12.1912414189
53,37,2623300,70900.0,12.4433667847
54,39,2476200,63492.3076923,12.3168357388
55,39,2377000,60948.7179487,12.4196388812
56,43,2244700,52202.3255814,12.1786071086
57,41,2211600,53941.4634146,12.124710607
58,38,2616600,68857.8947368,12.3084182435
59,43,2156000,50139.5348837,12.3945315324
60,26,1099400,42284.6153846,12.2331481288
61,38,2608300,68639.4736842,12.5143952552
62,36,2589200,71922.2222222,12.3249411467
63,37,2628100,71029.7297297,12.2711757227
64,38,2530800,66600.0,12.202099002
65,35,2603300,74380.0,12.3121218899
66,24,1486700,61945.8333333,12.2915962606
67,22,1342200,61009.0909091,12.3061163202
68,37,2770300,74872.972973,12.3336458234
69,42,2390600,56919.047619,12.3289389297
70,36,2673800,74272.2222222,12.3498238973
71,35,2651600,75760.0,12.4885974739
72,31,2181700,70377.4193548,12.2499483202
73,34,2668600,78488.2352941,12.1967394102
74,35,2748700,78534.2857143,12.0542648936
75,35,2565000,73285.7142857,11.8935829883
76,36,2616300,72675.0,11.924930297
77,36,2573100,71475.0,12.1436496537
78,37,2653200,71708.1081081,12.3663209212
79,36,2711200,75311.1111111,12.2711583456
80,38,2690200,70794.7368421,12.1637860269
81,35,2410900,68882.8571429,12.2173105107
82,33,2197700,66596.969697,12.2155127581
83,37,2703300,73062.1621622,12.3047080038
84,36,2723600,75655.5555556,12.3124486388
85,37,2569600,69448.6486486,12.4689753297
86,37,2717400,73443.2432432,12.5837922504
87,34,2770600,81488.2352941,12.4985549264
88,36,2711800,75327.7777778,12.3094964807
89,35,2758300,78808.5714286,12.4928866298
90,38,2395500,63039.4736842,12.3288897506
91,34,2703400,79511.7647059,12.1053046849
92,36,2782300,77286.1111111,12.1185810588
93,38,2678100,70476.3157895,12.0996088079
94,35,2807100,80202.8571429,12.129265989
95,37,2369900,64051.3513514,12.1522245476
96,34,2537400,74629.4117647,12.3292206487
97,35,2641100,75460.0,12.4847623777
98,35,2597800,74222.8571429,12.3722552941
99,34,2932800,86258.8235294,12.4636238596
100,38,2526600,66489.4736842,12.4515922033
101,38,2681700,70571.0526316,12.3939098708
102,19,1315400,69231.5789474,12.2753623926
103,35,2807700,80220.0,12.3765241749
104,34,2797500,82279.4117647,12.5404864371
105,36,2944800,81800.0,12.2925374981
106,35,2798200,79948.5714286,12.443553035
107,35,2745200,78434.2857143,12.4140660504
108,36,2646300,73508.3333333,12.3200770348
109,35,2803600,80102.8571429,12.3126830753
110,36,2871400,79761.1111111,12.4004524592
111,34,2924400,86011.7647059,12.4090190927
112,35,2974400,84982.8571429,12.3438154518
113,35,2599100,74260.0,12.2977860657
114,36,2802800,77855.5555556,12.1709179602
115,36,2798400,77733.3333333,12.2248986041
116,38,2803100,73765.7894737,12.1641007228
117,35,2833500,80957.1428571,12.1661231236
118,36,2548300,70786.1111111,12.124464701
119,38,2556600,67278.9473684,12.3367951656
120,36,2976200,82672.2222222,12.338017414
121,34,2794200,82182.3529412,12.169254056
122,36,2895900,80441.6666667,12.1210189838
123,37,2781300,75170.2702703,12.1260813975
124,37,2849700,77018.9189189,12.5242252659
125,36,2739300,76091.6666667,12.4628370428
126,34,3056100,89885.2941176,12.4160258824
127,33,3022900,91603.030303,12.3177607393
128,34,2872500,84485.2941176,12.4295797439
129,35,2912500,83214.2857143,12.430594242
130,37,2789700,75397.2972973,12.3565499788
131,39,2651400,67984.6153846,12.2990343618
132,34,2924400,86011.7647059,12.1528013012
133,34,2404000,70705.8823529,12.2715701573
134,35,2950200,84291.4285714,12.2537303291
135,38,2743200,72189.4736842,12.3543036344
136,34,2863800,84229.4117647,12.4198837845
137,38,2646900,69655.2631579,12.4940889833
138,37,2537900,68591.8918919,12.4485441465
139,37,2788500,75364.8648649,12.3416126551
140,36,2835300,78758.3333333,12.4289284539
141,36,2784200,77338.8888889,12.3030985792
142,34,2908300,85538.2352941,12.3939884641
143,36,2898100,80502.7777778,12.3929915315
144,39,2920900,74894.8717949,12.531604079
145,35,2738700,78248.5714286,12.5398998918
146,36,2896600,80461.1111111,12.3814729305
147,34,2898800,85258.8235294,12.2257685232
148,34,2997500,88161.7647059,12.4156529294
