epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,37,0,0.0,0.226795553518
2,37,0,0.0,0.207397324145
3,37,0,0.0,0.19117869555
4,37,10,0.27027027027,0.204025311964
5,37,427,11.5405405405,0.266521300725
6,37,2970,80.2702702703,0.62289132723
7,37,3053,82.5135135135,1.44944810643
8,37,3391,91.6486486486,2.43887318371
9,37,4090,110.540540541,3.04825374648
10,37,4683,126.567567568,3.41468199696
11,37,4540,122.702702703,3.75361446316
12,37,4436,119.891891892,3.87865580415
13,37,4044,109.297297297,4.24442708488
14,37,4825,130.405405405,4.35177379735
15,37,4905,132.567567568,4.3849908557
16,35,5589,159.685714286,4.40555128256
17,36,5857,162.694444444,4.52009354396
18,35,5535,158.142857143,4.72391681394
19,33,5985,181.363636364,4.96343673289
20,27,5972,221.185185185,4.9815117809
21,29,6139,211.689655172,5.11885222979
22,29,6111,210.724137931,5.2255396313
23,30,6254,208.466666667,4.97195850868
24,26,6171,237.346153846,5.04042009849
25,23,5859,254.739130435,4.96559511051
26,27,6076,225.037037037,5.22047891669
27,24,6242,260.083333333,5.39321850225
28,33,5977,181.121212121,5.26723649321
29,22,6668,303.090909091,5.27574301093
30,25,6393,255.72,5.1979132893
31,23,6591,286.565217391,5.20769022465
32,22,6378,289.909090909,5.30412341431
