epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,461,134960,292.754880694,0.853907727327
2,290,176040,607.034482759,1.75123414832
3,132,157170,1190.68181818,2.32725246351
4,70,161250,2303.57142857,2.85007312227
5,87,192470,2212.29885057,3.41450131589
6,83,216170,2604.45783133,3.83894990289
7,80,207980,2599.75,4.4219808913
8,83,228830,2756.98795181,4.78015415539
9,76,229250,3016.44736842,5.20880052681
10,81,245200,3027.16049383,5.50405954977
11,88,276480,3141.81818182,5.38679212964
12,91,277370,3048.02197802,5.46131947245
13,78,293420,3761.79487179,5.49020646773
14,80,288370,3604.625,5.56399804717
15,87,291050,3345.40229885,5.77234852843
16,78,303250,3887.82051282,5.98661458677
17,87,316460,3637.47126437,6.25957138455
18,78,321850,4126.28205128,6.3376621657
19,77,321830,4179.61038961,6.4463856322
20,79,326810,4136.83544304,6.43626234771
21,86,331960,3860.0,6.58609246118
22,77,319410,4148.18181818,6.50750398527
23,74,326820,4416.48648649,6.59814943387
24,75,331560,4420.8,6.55258244858
25,86,324950,3778.48837209,6.63716691365
26,79,344480,4360.50632911,6.56264531041
27,81,352440,4351.11111111,6.73560447377
28,69,344500,4992.75362319,6.63846244018
29,76,355780,4681.31578947,6.64592884162
30,84,333130,3965.83333333,6.61002800207
31,72,350850,4872.91666667,6.69141546666
32,73,353480,4842.19178082,6.53190562165
33,75,360290,4803.86666667,6.61855643912
34,72,342680,4759.44444444,6.63477634291
35,77,370410,4810.51948052,6.64859796957
36,68,364250,5356.61764706,6.62636290994
37,76,370160,4870.52631579,6.71293078538
38,75,367980,4906.4,6.77916710099
39,81,350280,4324.44444444,6.73354325435
40,74,375520,5074.59459459,6.74977003771
41,75,364470,4859.6,6.78384865409
42,80,371450,4643.125,6.85609832653
43,80,362310,4528.875,6.78251412823
44,72,381780,5302.5,6.89010910843
45,71,380200,5354.92957746,6.86745318083
46,70,378830,5411.85714286,6.85819474539
47,79,379820,4807.84810127,6.95647246912
48,68,388330,5710.73529412,6.91022261529
49,68,389520,5728.23529412,6.91417808131
50,68,386480,5683.52941176,6.96187331225
51,70,371830,5311.85714286,6.94038699295
52,69,377590,5472.31884058,6.96501636113
53,74,385940,5215.40540541,6.89870668927
54,71,399770,5630.56338028,6.85096232418
55,72,391490,5437.36111111,6.94863987099
56,67,404330,6034.7761194,6.96583581469
57,66,394120,5971.51515152,6.92005432045
58,74,387960,5242.7027027,6.9288954174
59,65,401930,6183.53846154,6.90288204615
60,62,411420,6635.80645161,6.89542841625
61,67,405070,6045.82089552,6.93589384211
62,67,389470,5812.98507463,6.84759352684
63,64,407200,6362.5,6.93598023042
64,63,405050,6429.36507937,6.87937482954
65,62,408160,6583.22580645,6.91498053239
66,62,409100,6598.38709677,6.90023407932
67,69,402070,5827.10144928,6.92988626104
68,65,414800,6381.53846154,6.90859419738
69,65,406070,6247.23076923,6.95596784373
70,71,403040,5676.61971831,6.87751107321
71,73,391980,5369.5890411,7.02065052661
72,68,418270,6151.02941176,7.01155498541
73,70,411590,5879.85714286,7.00280287164
74,66,409150,6199.24242424,7.05825036107
75,64,408570,6383.90625,7.17748817746
76,59,420400,7125.42372881,7.15506710624
77,64,404110,6314.21875,7.09694339899
78,68,420370,6181.91176471,7.02334743003
79,65,411740,6334.46153846,7.06608619754
80,62,408480,6588.38709677,7.07291871053
81,61,413050,6771.31147541,7.01183237057
82,69,407260,5902.31884058,6.92701443234
83,75,418000,5573.33333333,6.96069540639
84,61,427710,7011.63934426,7.05578529925
85,67,419340,6258.80597015,7.1100194312
86,64,417670,6526.09375,7.09856238125
87,60,429470,7157.83333333,7.04761206439
88,67,421220,6286.86567164,7.03180014997
89,61,410650,6731.96721311,7.13654734756
90,64,419340,6552.1875,7.06017042759
91,64,401450,6272.65625,6.92900202364
92,56,435230,7771.96428571,6.93410998176
93,64,424410,6631.40625,6.89282282088
94,60,417800,6963.33333333,6.98121874615
95,64,414290,6473.28125,7.0445912534
96,58,433180,7468.62068966,6.99441513988
97,68,413690,6083.67647059,6.99080316441
98,63,418500,6642.85714286,7.06981900068
99,53,426230,8042.0754717,7.01825917498
