epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,469,166660,355.351812367,5.29624439981
2,199,172140,865.025125628,5.52723352968
3,122,172800,1416.39344262,5.29976544686
4,90,161570,1795.22222222,5.20069083815
5,110,174090,1582.63636364,5.25608611155
6,96,195960,2041.25,5.47352958684
7,113,197700,1749.55752212,5.53376341576
8,132,210330,1593.40909091,5.59594359453
9,129,200930,1557.59689922,5.64566324372
10,122,210980,1729.3442623,5.49875582465
11,109,229180,2102.56880734,5.56860690047
12,125,253080,2024.64,5.57481976978
13,123,228610,1858.61788618,5.73734644012
14,124,250480,2020.0,5.74042865563
15,131,256360,1956.94656489,5.79214251491
16,147,243760,1658.23129252,5.96436670249
17,115,250890,2181.65217391,5.97181848512
18,130,237960,1830.46153846,5.8188278078
19,123,249580,2029.10569106,5.91335729155
20,128,263830,2061.171875,6.28405494154
21,120,268050,2233.75,6.35299030119
22,130,263920,2030.15384615,6.38850715828
23,110,261400,2376.36363636,6.37898774904
24,114,273560,2399.64912281,6.35991501168
25,111,261070,2351.98198198,6.34808930167
26,119,294280,2472.94117647,6.29561346347
27,127,258170,2032.83464567,6.21591092548
28,109,276090,2532.93577982,6.32096101605
29,135,281510,2085.25925926,6.55028597204
30,99,297920,3009.29292929,6.56023173472
31,115,293720,2554.08695652,6.5846325633
32,120,285130,2376.08333333,6.47014998936
33,114,289550,2539.9122807,6.45148294809
34,112,281240,2511.07142857,6.51780428248
35,119,304230,2556.55462185,6.41967044686
36,101,291430,2885.44554455,6.36379245166
37,106,289060,2726.98113208,6.41984824809
38,104,308900,2970.19230769,6.71865097709
39,100,302350,3023.5,6.56513200957
40,99,310920,3140.60606061,6.57459979554
41,98,303080,3092.65306122,6.64281147147
42,109,301310,2764.31192661,6.63137386491
43,110,267390,2430.81818182,6.59684600726
44,90,302690,3363.22222222,6.69749127701
