epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,411,178020,433.138686131,1.30008692736
2,195,191040,979.692307692,2.05992827273
3,127,202210,1592.20472441,2.90476148008
4,124,221220,1784.03225806,3.85655141363
5,119,214910,1805.96638655,4.40290181393
6,108,248320,2299.25925926,5.02910730985
7,134,257850,1924.25373134,5.43846023809
8,126,272420,2162.06349206,5.82700591455
9,131,257950,1969.08396947,5.93007082691
10,134,286560,2138.50746269,6.03149216818
11,122,279920,2294.42622951,6.05736835914
12,130,287130,2208.69230769,6.14211037683
13,133,304450,2289.09774436,6.35971454814
14,123,282410,2296.01626016,6.27436658707
15,121,288050,2380.5785124,6.32858799389
16,112,304000,2714.28571429,6.32903789837
17,118,269250,2281.77966102,6.31400602019
18,120,298370,2486.41666667,6.34582466314
19,120,312820,2606.83333333,6.44042823761
20,113,319650,2828.76106195,6.51189970653
21,126,314620,2496.98412698,6.5276263144
22,111,320230,2884.95495495,6.61450992913
23,115,315620,2744.52173913,6.72815862067
24,109,328120,3010.27522936,6.64947371602
25,113,323480,2862.65486726,6.68395199091
26,112,323570,2889.01785714,6.49154689851
27,98,322510,3290.91836735,6.42755212062
28,104,309520,2976.15384615,6.53352263936
29,115,319710,2780.08695652,6.61363873603
30,107,311530,2911.4953271,6.69852744096
31,105,316870,3017.80952381,6.55699270032
32,107,332570,3108.13084112,6.62138559049
33,103,324850,3153.88349515,6.4243840743
34,114,325310,2853.59649123,6.53642973846
35,109,331840,3044.40366972,6.63450729778
36,99,342980,3464.44444444,6.68326349159
37,106,328640,3100.37735849,6.75408552528
38,109,335300,3076.14678899,6.66655861256
39,98,319700,3262.24489796,6.68395146542
40,111,353300,3182.88288288,6.8772770838
41,105,348820,3322.0952381,6.86851561625
42,100,347090,3470.9,6.91803010378
43,102,350520,3436.47058824,6.94637288876
44,105,351090,3343.71428571,6.7844359484
45,106,351620,3317.16981132,6.8292440965
46,99,349200,3527.27272727,6.79034202399
47,98,353710,3609.28571429,6.69492221683
48,108,348470,3226.57407407,6.77034397441
49,103,354390,3440.67961165,6.76594836486
50,99,352510,3560.70707071,6.84553758461
51,105,348230,3316.47619048,6.75285346797
52,99,363360,3670.3030303,6.8683902484
53,110,364220,3311.09090909,6.84449367431
54,102,347840,3410.19607843,6.68223270698
55,91,352810,3877.03296703,6.74465214163
56,92,356670,3876.84782609,6.82893784055
57,103,370830,3600.29126214,6.8689351987
58,97,359080,3701.8556701,6.78857291663
59,98,358310,3656.2244898,6.8050892148
60,93,359800,3868.8172043,6.77195098138
61,98,360450,3678.06122449,6.93427481188
62,99,366000,3696.96969697,6.87472475297
