epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,201,43160,214.726368159,0.343145861885
2,198,119900,605.555555556,1.00582108333
3,200,65420,327.1,1.96767435789
4,28,27150,969.642857143,2.20908280506
5,92,219190,2382.5,2.45797462579
6,26,97350,3744.23076923,2.69235715482
7,5,24890,4978.0,2.74952121721
8,1,1690,1690.0,2.86864982547
9,18,74870,4159.44444444,2.91506529783
10,71,287790,4053.38028169,2.94798154094
11,13,45700,3515.38461538,2.83127320805
12,24,87870,3661.25,2.75727209913
13,15,67350,4490.0,2.83735898601
14,1,2380,2380.0,2.80940390646
15,16,79150,4946.875,2.68532072838
16,2,7310,3655.0,2.69304115943
17,36,153250,4256.94444444,2.75292621105
18,62,268910,4337.25806452,2.77965685454
19,52,209950,4037.5,2.78126301585
20,32,126600,3956.25,2.76923416547
21,45,196660,4370.22222222,2.68424741185
22,41,187010,4561.2195122,2.75619645393
23,54,240510,4453.88888889,2.72954606939
24,19,82270,4330.0,2.85445884701
25,63,257640,4089.52380952,3.06078296148
26,53,262770,4957.9245283,3.12676541312
27,28,131260,4687.85714286,3.15611355593
28,1,5160,5160.0,3.17521061942
29,3,14690,4896.66666667,3.28565673801
30,68,322950,4749.26470588,3.29114207944
31,1,5050,5050.0,3.2582877136
32,3,14150,4716.66666667,3.35919533114
33,28,122070,4359.64285714,3.39626650395
34,70,286000,4085.71428571,3.35810650659
35,48,212970,4436.875,3.33897136381
36,15,67010,4467.33333333,3.45834835544
37,65,314270,4834.92307692,3.39271180728
38,63,330400,5244.44444444,3.52533513288
39,1,3680,3680.0,3.47857892375
40,66,322740,4890.0,3.40592569543
41,70,325990,4657.0,3.41684900085
42,9,41150,4572.22222222,3.29141001781
43,4,19510,4877.5,3.32794709568
44,30,141130,4704.33333333,3.39139738806
45,52,241230,4639.03846154,3.3176315795
46,52,243740,4687.30769231,3.22410347268
47,6,30150,5025.0,3.25287345383
48,62,278750,4495.96774194,3.20005295948
49,62,309760,4996.12903226,3.1746184914
50,34,164180,4828.82352941,3.14313948102
51,76,351390,4623.55263158,3.22684449871
52,64,310720,4855.0,3.27189901138
53,35,168620,4817.71428571,3.29888757816
54,1,4760,4760.0,3.30829722211
55,70,321810,4597.28571429,3.27454120198
56,4,18880,4720.0,3.25405237258
57,64,296410,4631.40625,3.27436350726
58,63,306980,4872.6984127,3.28855835935
59,56,268890,4801.60714286,3.25742575417
60,68,338830,4982.79411765,3.34859291501
61,3,12040,4013.33333333,3.39913393588
62,59,318200,5393.22033898,3.42731011194
63,8,47870,5983.75,3.37907575164
64,1,5100,5100.0,3.37309173709
65,71,371660,5234.64788732,3.32751576105
66,40,191460,4786.5,3.32171186163
67,58,286010,4931.20689655,3.32191911178
68,69,348450,5050.0,3.35885359343
69,13,60710,4670.0,3.35538044427
70,11,53930,4902.72727273,3.41308514886
71,13,68360,5258.46153846,3.41781303338
72,68,332830,4894.55882353,3.36070557893
73,66,312330,4732.27272727,3.44185882046
74,67,317670,4741.34328358,3.36668325726
75,54,271450,5026.85185185,3.41622232479
76,8,36460,4557.5,3.40966964017
77,48,239070,4980.625,3.45945440511
78,59,303190,5138.81355932,3.41655993663
79,46,221530,4815.86956522,3.43208000317
80,68,342200,5032.35294118,3.37394003189
81,65,343310,5281.69230769,3.39202410753
82,72,357020,4958.61111111,3.42967983021
83,5,27550,5510.0,3.48270174941
84,8,41150,5143.75,3.5708568158
85,12,63500,5291.66666667,3.55782287197
86,27,134110,4967.03703704,3.51805439337
87,30,150510,5017.0,3.50656829886
88,3,17650,5883.33333333,3.53021814653
89,61,332000,5442.62295082,3.55777958783
90,66,344350,5217.42424242,3.60519154572
91,2,5830,2915.0,3.72426132106
92,17,83080,4887.05882353,3.65684138293
93,67,382480,5708.65671642,3.65507178751
94,66,363030,5500.45454545,3.72253715225
95,13,63880,4913.84615385,3.69638367757
96,50,250090,5001.8,3.60492325812
97,12,64950,5412.5,3.57659251375
98,61,345990,5671.96721311,3.51050213135
99,13,71740,5518.46153846,3.50383704501
100,39,212180,5440.51282051,3.48404708479
101,78,373360,4786.66666667,3.47174344584
102,63,330240,5241.9047619,3.50781297636
103,32,155740,4866.875,3.50755941265
104,2,6780,3390.0,3.51730863588
105,7,45940,6562.85714286,3.50178391078
106,67,360660,5382.98507463,3.50637466395
107,36,197860,5496.11111111,3.62388831359
108,76,375060,4935.0,3.68447778679
109,50,261740,5234.8,3.59071258892
110,64,375390,5865.46875,3.57983496086
111,60,319940,5332.33333333,3.55387514341
112,1,4530,4530.0,3.59742647707
113,65,342510,5269.38461538,3.73295639768
114,9,48250,5361.11111111,3.74549204806
115,9,50760,5640.0,3.71336181132
116,28,127340,4547.85714286,3.65474182218
117,57,302670,5310.0,3.57041668789
118,63,315380,5006.03174603,3.62199123187
119,1,4620,4620.0,3.57975303703
120,3,15770,5256.66666667,3.57091805423
121,4,21580,5395.0,3.51255637485
122,16,78910,4931.875,3.62123973961
123,9,43450,4827.77777778,3.55114986099
124,10,49150,4915.0,3.57995398243
125,59,288500,4889.83050847,3.61559829141
126,65,359090,5524.46153846,3.62692985832
127,33,179080,5426.66666667,3.6749251637
128,2,9110,4555.0,3.65219669346
129,15,77710,5180.66666667,3.72171328089
130,66,345320,5232.12121212,3.68651415727
131,52,290650,5589.42307692,3.61458227597
132,41,238040,5805.85365854,3.56672345418
133,5,25450,5090.0,3.64785417364
134,71,365120,5142.53521127,3.6520829812
135,69,348500,5050.72463768,3.69124592876
136,58,350140,6036.89655172,3.71863282922
137,7,44800,6400.0,3.73315070795
138,54,308050,5704.62962963,3.65460280106
139,2,12500,6250.0,3.59464596353
140,41,237360,5789.26829268,3.64838660046
141,46,250430,5444.13043478,3.56582291201
142,62,338060,5452.58064516,3.5270499975
143,1,4760,4760.0,3.53049112858
144,68,386420,5682.64705882,3.62230331747
145,9,48990,5443.33333333,3.63941058269
146,19,97210,5116.31578947,3.6609647725
147,17,103510,6088.82352941,3.61701136449
148,20,94130,4706.5,3.57963912987
149,63,364110,5779.52380952,3.6856800334
150,11,65370,5942.72727273,3.6796281204
151,57,301470,5288.94736842,3.71729241486
152,66,365310,5535.0,3.72229662845
153,65,372720,5734.15384615,3.64637237229
154,66,379780,5754.24242424,3.72078563649
155,66,354520,5371.51515152,3.74495798429
156,71,376760,5306.47887324,3.71028437697
157,12,74740,6228.33333333,3.74702419565
158,9,58990,6554.44444444,3.66713514847
159,1,5390,5390.0,3.63479918429
160,43,253250,5889.53488372,3.7275192772
161,63,319370,5069.36507937,3.72439777657
162,2,9590,4795.0,3.70513930652
163,6,33200,5533.33333333,3.72084563801
164,38,241690,6360.26315789,3.7020608389
165,22,112000,5090.90909091,3.74703739367
166,67,374200,5585.07462687,3.67735452836
167,35,189880,5425.14285714,3.74699977279
168,55,305050,5546.36363636,3.79184589922
169,30,173830,5794.33333333,3.73173703868
170,42,232680,5540.0,3.78648839206
171,58,377860,6514.82758621,3.7931903395
172,46,267070,5805.86956522,3.86102351635
173,60,349780,5829.66666667,3.81743082707
174,10,47690,4769.0,3.79285802768
175,66,372620,5645.75757576,3.80501732083
176,71,357430,5034.22535211,3.86394561715
177,48,299150,6232.29166667,3.86194103774
178,34,215240,6330.58823529,3.87701366091
179,67,347520,5186.86567164,3.80855812796
180,58,304610,5251.89655172,3.84060226898
181,15,93340,6222.66666667,3.86607533717
182,1,5220,5220.0,3.84555950707
183,51,335070,6570.0,3.78583192046
184,17,85160,5009.41176471,3.78057699768
185,22,135350,6152.27272727,3.7581288589
186,14,79020,5644.28571429,3.7124290213
187,68,370850,5453.67647059,3.69875597067
188,50,264940,5298.8,3.71669023128
189,10,50580,5058.0,3.78043442458
190,44,232020,5273.18181818,3.84213505599
191,61,394530,6467.70491803,3.79305414734
192,31,169960,5482.58064516,3.74044699297
193,71,397130,5593.38028169,3.78726411771
194,63,361080,5731.42857143,3.73110916659
195,69,388290,5627.39130435,3.81221977041
196,79,396840,5023.29113924,3.87438934888
197,76,409450,5387.5,3.85574974054
198,71,400560,5641.69014085,3.84753454949
199,72,380020,5278.05555556,3.82936713275
200,57,369110,6475.61403509,3.83756488252
