epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,149,-3126,-20.9798657718,0.356181770563
2,164,-3444,-21.0,-0.213739335537
3,149,-3127,-20.9865771812,-0.643349766731
4,164,-3444,-21.0,-0.98031193018
5,164,-3444,-21.0,-1.24510324001
6,164,-3444,-21.0,-1.44652760029
7,164,-3444,-21.0,-1.63161838055
8,158,-3318,-21.0,-1.76269769669
9,147,-3087,-21.0,-1.84334564209
10,149,-3129,-21.0,-1.92243468761
11,159,-3339,-21.0,-1.96396291256
12,149,-3129,-21.0,-2.02262473106
13,159,-3339,-21.0,-2.05421662331
14,159,-3339,-21.0,-2.11801218987
15,145,-3040,-20.9655172414,-2.15782189369
16,145,-3043,-20.9862068966,-2.18502521515
17,146,-3062,-20.9726027397,-2.17567038536
18,150,-3148,-20.9866666667,-2.18129563332
19,147,-3082,-20.9659863946,-2.19156122208
20,164,-3444,-21.0,-2.22310853004
21,158,-3318,-21.0,-2.26220941544
22,164,-3444,-21.0,-2.23883295059
23,151,-3171,-21.0,-2.24225616455
24,148,-3106,-20.9864864865,-2.23036837578
25,164,-3444,-21.0,-2.22745370865
26,150,-3149,-20.9933333333,-2.24536466599
27,144,-3022,-20.9861111111,-2.22586297989
28,158,-3318,-21.0,-2.23370313644
29,147,-3082,-20.9659863946,-2.24407792091
