epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,147,-3084,-20.9795918367,-0.536233782768
2,151,-3170,-20.9933774834,-0.862148984559
3,158,-3318,-21.0,-1.06230653601
4,164,-3444,-21.0,-1.22234931187
5,164,-3444,-21.0,-1.34982884031
6,164,-3444,-21.0,-1.52769337799
7,110,-2309,-20.9909090909,-1.59980050988
8,96,-2015,-20.9895833333,-1.59917085085
9,92,-1924,-20.9130434783,-1.5815206299
10,163,-3420,-20.981595092,-1.63011797167
11,118,-2463,-20.8728813559,-1.57333329266
12,114,-2255,-19.7807017544,-1.38680469813
13,109,-2235,-20.504587156,-1.35561800147
14,137,-2875,-20.9854014599,-1.26701168799
15,74,-1444,-19.5135135135,-1.1978839403
16,92,-1884,-20.4782608696,-0.985866567055
17,70,-1378,-19.6857142857,-0.928509461517
18,79,-1543,-19.5316455696,-0.902247011755
19,54,-1034,-19.1481481481,-0.822296821065
20,74,-1484,-20.0540540541,-0.820199693236
21,57,-1139,-19.9824561404,-0.770836125095
22,50,-911,-18.22,-0.70855120807
23,49,-830,-16.9387755102,-0.675528884311
24,42,-765,-18.2142857143,-0.676223667841
25,108,-2215,-20.5092592593,-0.651532562971
26,44,-694,-15.7727272727,-0.597617960065
27,53,-972,-18.3396226415,-0.559697875418
28,46,-788,-17.1304347826,-0.546308443043
29,41,-641,-15.6341463415,-0.49878434662
30,54,-1001,-18.537037037,-0.48726511325
31,55,-1029,-18.7090909091,-0.491652708163
32,59,-1121,-19.0,-0.473650001677
