epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,277,14560,52.5631768953,0.32552133522
2,167,32440,194.251497006,0.767585188693
3,176,38280,217.5,1.79293075847
4,146,37780,258.767123288,2.5506519837
5,166,35400,213.253012048,3.08070669097
6,129,39940,309.612403101,3.57782124921
7,146,33400,228.767123288,3.80595378433
8,134,38860,290.0,3.86230607102
9,123,44660,363.089430894,3.80827116068
10,142,42260,297.605633803,3.87575542098
11,131,43020,328.396946565,3.75055959745
12,116,45000,387.931034483,3.62518253979
13,117,46860,400.512820513,3.7024803431
14,116,43920,378.620689655,3.76693099218
15,110,50920,462.909090909,3.75789859029
16,116,53260,459.137931034,3.66770677261
17,147,51900,353.06122449,3.65207250384
18,114,54460,477.719298246,3.5603364949
19,180,41460,230.333333333,3.65740894149
20,138,49280,357.101449275,3.60683734453
21,95,63200,665.263157895,3.5815743523
22,113,61260,542.123893805,3.78846005777
23,87,72880,837.701149425,3.82366156881
24,84,76200,907.142857143,3.86333741274
25,98,75260,767.959183673,3.97948343145
26,107,82560,771.588785047,4.13573808724
27,79,71560,905.82278481,4.23031871747
28,78,86100,1103.84615385,4.35964474754
29,76,94220,1239.73684211,4.48098452972
30,73,97540,1336.16438356,4.60310334617
31,72,104040,1445.0,4.65561821395
32,87,93300,1072.4137931,4.79316467397
