epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,188,35600,189.361702128,0.602224819311
2,223,42845,192.130044843,0.96390777675
3,277,46315,167.202166065,1.50188416801
4,170,55540,326.705882353,2.07957497137
5,176,54050,307.102272727,2.43143209636
6,164,58800,358.536585366,2.9376249067
7,164,73650,449.085365854,3.34873358767
8,147,77040,524.081632653,3.67467340947
9,130,68825,529.423076923,3.79527566326
10,127,70790,557.401574803,3.92093675153
11,129,76530,593.255813953,4.14903979531
12,127,77525,610.433070866,4.16546492161
13,126,76520,607.301587302,4.37516747839
14,121,78680,650.247933884,4.41652649823
15,135,82290,609.555555556,4.44514984396
16,134,86675,646.828358209,4.79478401477
17,116,77565,668.663793103,4.96505145558
18,131,85735,654.465648855,4.96168849983
19,132,86730,657.045454545,4.83745022758
20,130,89445,688.038461538,4.75967227132
21,138,88165,638.876811594,4.71774765807
22,121,84305,696.73553719,4.72433409572
23,130,87695,674.576923077,4.84324510916
24,133,91975,691.541353383,4.71381098376
25,127,89940,708.188976378,4.76351466926
26,131,88740,677.404580153,4.6213065761
27,131,88195,673.244274809,4.74816539878
28,120,85895,715.791666667,4.69533454169
29,124,90665,731.169354839,4.70374379564
30,123,91075,740.447154472,4.81854029202
31,124,88355,712.540322581,4.86489701482
32,132,88725,672.159090909,4.76125813907
33,125,87655,701.24,4.76640449556
34,127,93000,732.283464567,4.77242051084
35,128,87260,681.71875,4.80099635155
36,114,85525,750.219298246,4.76216192371
37,117,89445,764.487179487,4.81288140932
38,123,90800,738.211382114,4.90785679831
39,125,90260,722.08,4.96175853322
40,126,91670,727.53968254,5.03095269537
41,130,93180,716.769230769,5.00933160805
42,121,93435,772.190082645,5.00994516412
43,111,92240,830.990990991,5.05060426389
44,121,92870,767.520661157,5.03213459697
45,121,93565,773.26446281,4.95523449038
46,126,92280,732.380952381,4.9433902483
47,114,92755,813.640350877,4.94407734435
48,109,94305,865.183486239,4.89120983646
49,121,96065,793.925619835,4.90076360044
50,117,92455,790.213675214,5.04522843859
51,121,93095,769.380165289,5.03639139686
52,123,95740,778.37398374,4.92584760131
53,114,93315,818.552631579,4.96367231399
54,122,94050,770.901639344,4.97009674557
55,127,92610,729.212598425,5.07050224422
56,106,93935,886.179245283,5.07640684671
57,109,97095,890.779816514,5.04969697715
58,123,94010,764.308943089,4.94219328174
59,125,94490,755.92,4.95428582358
60,130,96855,745.038461538,4.90163494734
61,108,94760,877.407407407,4.93121015166
62,117,94560,808.205128205,4.90045568045
63,114,95075,833.99122807,4.96537952017
64,105,93720,892.571428571,5.01941882153
65,108,93890,869.351851852,5.0501533285
66,114,96230,844.122807018,4.97616602981
67,112,96070,857.767857143,4.98479278458
68,121,95835,792.024793388,5.01029232563
69,122,95090,779.426229508,4.973248381
70,112,96590,862.410714286,4.96233723359
71,108,94440,874.444444444,4.91390394171
72,99,95705,966.717171717,4.86073547172
73,109,96690,887.064220183,4.7924576532
74,116,92390,796.465517241,4.93374153098
75,116,92460,797.068965517,4.99040293666
76,110,94615,860.136363636,5.01164914408
77,107,96975,906.308411215,5.18490889855
78,112,94230,841.339285714,5.17559852452
79,112,98145,876.294642857,5.1242344784
80,109,96505,885.366972477,5.13763034466
81,108,97910,906.574074074,5.13267152501
82,98,97295,992.806122449,5.08779035097
83,109,98680,905.321100917,5.15939489205
84,118,96195,815.211864407,5.17790059993
85,100,94115,941.15,5.15972575656
86,96,98905,1030.26041667,5.15202860456
87,101,95405,944.603960396,5.12718857533
88,105,96830,922.19047619,5.17040838384
89,114,98615,865.043859649,5.22143540087
90,108,99705,923.194444444,5.2115082986
91,102,97555,956.421568627,5.14640619066
92,98,96795,987.704081633,5.06321517464
93,97,98280,1013.19587629,5.09095856507
94,95,94605,995.842105263,5.05113713072
95,108,99825,924.305555556,5.04706271557
96,110,98685,897.136363636,5.05289193987
97,103,99905,969.951456311,5.08425903773
98,103,100140,972.233009709,5.157752296
99,101,100725,997.277227723,5.20014164291
100,100,97925,979.25,5.26206156448
101,98,99295,1013.21428571,5.27041410743
102,102,97725,958.088235294,5.17096226756
103,99,95415,963.787878788,5.21825684539
104,100,96940,969.4,5.36758873677
105,93,97050,1043.5483871,5.2492863987
106,92,97440,1059.13043478,5.36168751686
107,95,99785,1050.36842105,5.26870717693
108,97,100630,1037.42268041,5.35870583057
109,98,98235,1002.39795918,5.29579211159
110,93,98560,1059.78494624,5.17923438778
111,98,99295,1013.21428571,5.23281838257
112,90,98240,1091.55555556,5.16694757015
113,92,97430,1059.02173913,5.21029825383
114,96,99910,1040.72916667,5.18930220017
115,94,101325,1077.92553191,5.17683248356
116,91,97635,1072.91208791,5.19256674158
117,96,101580,1058.125,5.26971576548
118,98,100910,1029.69387755,5.18960229784
119,98,99565,1015.96938776,5.11267294612
120,99,102425,1034.5959596,5.08268146424
121,104,102550,986.057692308,5.00299553951
122,85,102245,1202.88235294,5.0072412502
123,100,99845,998.45,4.98720954339
124,94,102350,1088.82978723,5.09194832349
125,96,104510,1088.64583333,5.16881950578
126,87,99935,1148.67816092,5.23036216562
127,90,96705,1074.5,5.08290704777
128,95,102435,1078.26315789,5.15423053924
129,92,101710,1105.54347826,5.15640673464
130,93,97575,1049.19354839,5.16413090422
131,91,101535,1115.76923077,5.18640615958
132,93,99825,1073.38709677,5.21075861858
133,96,101650,1058.85416667,5.19742856438
134,101,101065,1000.64356436,5.15435877727
135,94,101940,1084.46808511,5.19579767572
136,92,100490,1092.2826087,5.16556048717
137,98,100660,1027.14285714,5.09447625494
138,92,102045,1109.18478261,5.08023675152
139,87,101435,1165.91954023,5.1323534699
140,91,101550,1115.93406593,5.1739886793
141,91,100965,1109.50549451,5.21983958623
142,87,102245,1175.22988506,5.21496827593
143,86,102530,1192.20930233,5.20209958775
144,88,100995,1147.67045455,5.24548920221
145,96,103380,1076.875,5.35929830893
146,98,101155,1032.19387755,5.33683171152
147,89,100975,1134.5505618,5.30689185356
148,88,102995,1170.39772727,5.29964737992
149,88,101090,1148.75,5.28695582283
150,89,99570,1118.76404494,5.25879883502
151,94,100875,1073.13829787,5.3289987702
152,92,106225,1154.61956522,5.31949110916
153,89,103875,1167.13483146,5.2407938278
154,90,105390,1171.0,5.35086317381
155,88,102075,1159.94318182,5.26567176396
156,88,104680,1189.54545455,5.27106652906
157,91,104655,1150.05494505,5.28895882811
158,86,103090,1198.72093023,5.24337033392
159,93,99950,1074.7311828,5.1299755048
160,89,102250,1148.87640449,5.19267562655
161,83,101580,1223.85542169,5.12135230501
162,87,100520,1155.40229885,5.06753115946
163,90,102650,1140.55555556,5.21240414298
164,91,105360,1157.8021978,5.20885392315
165,83,100130,1206.38554217,5.14801589436
166,86,103155,1199.47674419,5.20248747193
167,91,101500,1115.38461538,5.23695563655
168,88,101860,1157.5,5.25082324673
169,90,104200,1157.77777778,5.2536817987
170,82,99980,1219.26829268,5.12210632983
171,86,100965,1174.01162791,5.1291338745
172,81,101040,1247.40740741,5.18041052608
173,82,104550,1275.0,5.13988265878
174,86,106155,1234.36046512,5.12440925351
175,88,103035,1170.85227273,5.06888067939
176,86,104960,1220.46511628,5.06605147144
177,84,105630,1257.5,5.0184748416
178,80,100940,1261.75,5.04473443754
179,82,104550,1275.0,5.10934232058
180,78,101450,1300.64102564,5.1857363118
181,83,105340,1269.15662651,5.23020105668
182,85,104370,1227.88235294,5.18864258751
183,84,104455,1243.51190476,5.19170982796
184,85,101410,1193.05882353,5.18084744261
185,84,104150,1239.88095238,5.18756681541
186,85,104595,1230.52941176,5.2279287946
187,85,107710,1267.17647059,5.18483362656
188,88,105535,1199.26136364,5.17100007025
189,80,97345,1216.8125,5.07433125916
190,79,101975,1290.82278481,5.09544635561
191,81,102080,1260.24691358,5.06611668139
192,82,102310,1247.68292683,5.06270260567
193,86,98430,1144.53488372,5.04721429408
194,72,102990,1430.41666667,5.13908223272
195,79,105170,1331.26582278,5.13542438875
196,84,102130,1215.83333333,5.1719357629
197,85,104740,1232.23529412,5.11676114213
198,81,104805,1293.88888889,5.08265008896
199,84,105575,1256.8452381,5.14060561411
200,82,105205,1282.98780488,5.22750183963
