epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,173,45230,261.445086705,1.64924645424
2,164,40900,249.390243902,1.56969428062
3,274,6855,25.0182481752,1.54633271694
4,204,38610,189.264705882,1.55884921551
5,281,7655,27.2419928826,1.55774581432
6,205,37475,182.804878049,1.62903285027
7,179,43860,245.027932961,1.71276688576
8,205,37490,182.87804878,1.72204316366
9,164,43080,262.682926829,1.75858187675
10,179,54565,304.832402235,1.78825986385
11,167,45220,270.778443114,1.82196784019
12,182,50990,280.164835165,1.85434091091
13,178,43735,245.702247191,1.84693646431
14,186,51940,279.247311828,1.83501338959
15,172,43895,255.203488372,1.84944796562
