epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,208,36530,175.625,-0.491502298658
2,207,39820,192.367149758,0.28930926725
3,233,36770,157.811158798,0.952991299977
4,226,51285,226.924778761,1.46817668024
5,184,54110,294.076086957,1.97040259586
6,209,55090,263.588516746,2.41130394087
7,176,56880,323.181818182,2.78849495049
8,212,50460,238.018867925,3.17098626707
9,201,54690,272.089552239,3.75669434505
10,203,52530,258.768472906,3.81309000839
11,193,60225,312.046632124,4.10035256187
12,187,57240,306.096256684,4.28402438389
13,168,62610,372.678571429,4.5794677441
14,160,67680,423.0,4.70424913089
15,166,59430,358.012048193,4.90574431797
16,188,58670,312.074468085,5.03269258949
17,180,60550,336.388888889,5.18507202784
18,167,63525,380.389221557,5.24014721427
19,157,65745,418.757961783,5.09395590729
20,159,70475,443.238993711,4.98393866902
21,164,66320,404.390243902,4.97576655151
22,167,68230,408.562874251,4.98925468042
23,165,65050,394.242424242,4.8276640566
24,167,73040,437.365269461,4.77163658951
25,165,68750,416.666666667,4.71608076608
26,160,70740,442.125,4.68359070507
27,161,67855,421.459627329,4.73812180633
28,151,75080,497.218543046,4.6368981647
29,164,77415,472.042682927,4.68963177799
30,151,74450,493.046357616,4.47957411752
31,159,77180,485.408805031,4.59120250811
32,148,77540,523.918918919,4.50052457763
