epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,102,55650,545.588235294,0.221791007337
2,172,164650,957.26744186,0.671201195364
3,143,115400,806.993006993,0.860224694769
4,197,278250,1412.43654822,1.02668275466
5,144,267850,1860.06944444,1.28267796976
6,161,273375,1697.98136646,1.30993158788
7,170,120625,709.558823529,1.42047071325
8,174,233550,1342.24137931,1.46139569973
9,159,238800,1501.88679245,1.52954393871
10,203,212425,1046.42857143,1.64724574894
11,151,288500,1910.59602649,1.69803434954
12,136,274375,2017.46323529,1.74090935011
13,140,264200,1887.14285714,1.73984183337
14,190,278000,1463.15789474,1.7252974205
15,166,288025,1735.09036145,1.71213339337
16,179,255250,1425.97765363,1.74486492497
17,157,194300,1237.57961783,1.66535364635
18,165,266700,1616.36363636,1.7547376753
19,145,338175,2332.24137931,1.69827818203
20,164,269700,1644.51219512,1.71025655084
21,171,309225,1808.33333333,1.68621232352
22,177,324800,1835.02824859,1.69186035275
23,137,269625,1968.06569343,1.6908697966
24,142,275625,1941.02112676,1.70718394129
25,170,291375,1713.97058824,1.82020758083
26,160,299375,1871.09375,1.79183126626
27,166,250550,1509.3373494,1.86282917418
28,158,285950,1809.81012658,1.86876239786
29,155,267075,1723.06451613,1.80066985043
30,168,272650,1622.91666667,1.80185511065
31,175,228150,1303.71428571,1.8269487376
32,159,267125,1680.03144654,1.76131837549
33,134,246250,1837.68656716,1.74178162213
34,171,260450,1523.0994152,1.75628262535
35,130,222775,1713.65384615,1.71645334072
36,142,258350,1819.36619718,1.74241852742
37,156,256475,1644.07051282,1.73166839129
38,153,252000,1647.05882353,1.69432864972
39,143,252075,1762.76223776,1.68352714764
40,148,247575,1672.80405405,1.68733883664
41,157,268950,1713.05732484,1.72517441724
42,153,258350,1688.5620915,1.7309940182
43,145,246875,1702.5862069,1.72607355949
44,152,282425,1858.05921053,1.73686920707
45,154,225875,1466.72077922,1.73957551981
46,180,268425,1491.25,1.7420374284
47,151,235950,1562.58278146,1.73105762036
48,163,278450,1708.28220859,1.69924589066
49,158,278600,1763.29113924,1.71442341053
50,161,272025,1689.59627329,1.69479646413
51,147,266625,1813.7755102,1.6873731975
52,174,246725,1417.95977011,1.69098605166
53,178,272900,1533.14606742,1.69771535469
