epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,87,220625,2535.91954023,1.03137070992
2,80,119625,1495.3125,1.04556624593
3,118,157550,1335.16949153,1.02216932206
4,129,270550,2097.28682171,1.10390408615
5,104,106975,1028.60576923,1.13675426939
6,80,117575,1469.6875,1.22892608666
7,80,220575,2757.1875,1.17326044886
8,121,140025,1157.23140496,1.21423418622
9,121,244325,2019.21487603,1.32743324772
10,160,260825,1630.15625,1.37931996062
11,184,255300,1387.5,1.36640247407
12,154,236900,1538.31168831,1.41967818576
13,136,273600,2011.76470588,1.47827725489
14,161,299575,1860.71428571,1.5259270405
15,192,227525,1185.02604167,1.52036789862
16,210,271250,1291.66666667,1.53896397801
17,194,294500,1518.04123711,1.61859307596
18,179,268575,1500.41899441,1.7955802779
19,180,280550,1558.61111111,1.79699932313
20,175,237625,1357.85714286,1.82492827368
21,175,269050,1537.42857143,1.81620055003
22,203,214975,1058.99014778,1.79631558927
23,186,267600,1438.70967742,1.79928154966
24,176,269300,1530.11363636,1.68747461212
25,174,218225,1254.16666667,1.68271906417
26,181,288450,1593.64640884,1.62409760709
27,173,282500,1632.94797688,1.70703273761
28,189,297900,1576.19047619,1.65926442684
29,161,263700,1637.88819876,1.76401326971
30,172,247150,1436.91860465,1.7148444711
31,195,225175,1154.74358974,1.64134144888
32,174,258325,1484.62643678,1.6112241246
33,196,237725,1212.88265306,1.67809366176
34,166,264100,1590.96385542,1.74717122555
35,171,309100,1807.60233918,1.6819898609
36,184,199075,1081.92934783,1.65783617968
37,170,294025,1729.55882353,1.57913314146
38,174,237900,1367.24137931,1.63766531686
39,178,258350,1451.40449438,1.62985007712
40,181,251750,1390.8839779,1.67273786906
41,158,231650,1466.13924051,1.61300528483
42,187,267625,1431.14973262,1.59332817079
43,162,262125,1618.05555556,1.53550588808
44,179,255700,1428.49162011,1.51214787466
