epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,241,300,1.24481327801,0.208769412616
2,688,941,1.36773255814,0.216114027576
3,125,2023,16.184,0.477056173381
4,83,3607,43.4578313253,0.888393442838
5,57,4532,79.5087719298,1.07837644439
6,54,4684,86.7407407407,1.35111107159
7,57,5508,96.6315789474,1.5531538096
8,56,5690,101.607142857,1.79371766851
9,70,4647,66.3857142857,1.87309174169
10,54,6082,112.62962963,1.92392953018
11,51,6438,126.235294118,1.91358068284
12,28,5341,190.75,1.93726337169
13,45,10092,224.266666667,2.02374975247
14,46,10424,226.608695652,2.03684110154
15,8,1654,206.75,2.04492346378
16,1,243,243.0,2.10990558169
17,44,9629,218.840909091,2.07261384666
18,47,10822,230.255319149,2.113147467
19,32,7788,243.375,2.09570896547
20,13,3769,289.923076923,2.08079389295
21,45,9715,215.888888889,2.23012262485
22,43,10807,251.325581395,2.1440136899
23,18,5291,293.944444444,2.16286831966
24,12,2297,191.416666667,2.16665555981
25,10,2266,226.6,2.12081913861
26,49,10387,211.979591837,2.12369544407
27,23,5189,225.608695652,2.05546087599
28,38,10117,266.236842105,2.10812386152
29,51,7834,153.607843137,2.10319443657
30,24,6317,263.208333333,2.13306841883
31,56,9015,160.982142857,2.11419731122
32,2,142,71.0,2.11305688621
33,29,6509,224.448275862,2.07461069111
34,25,5016,200.64,2.01072088034
35,11,3521,320.090909091,2.06334399827
36,8,2200,275.0,2.01331189668
37,14,3312,236.571428571,2.08108244602
38,32,8098,253.0625,2.02651040103
39,31,6875,221.774193548,2.06591460528
40,43,13121,305.139534884,2.12843978023
41,21,6477,308.428571429,2.14411127292
42,44,10964,249.181818182,2.0966116662
43,38,10901,286.868421053,2.08159665711
44,30,7886,262.866666667,2.13589237431
45,41,10792,263.219512195,2.12018221462
46,50,8398,167.96,2.07107612599
47,39,11413,292.641025641,2.03770000853
48,18,4776,265.333333333,2.04600796022
49,7,1905,272.142857143,2.07056401003
50,45,11385,253.0,2.06904339913
51,45,10176,226.133333333,1.9754284865
52,46,11128,241.913043478,2.08412444707
53,51,11039,216.450980392,2.02160220316
54,6,1530,255.0,2.07838613603
55,44,10037,228.113636364,1.99853241632
56,40,9707,242.675,2.03806362022
57,37,10708,289.405405405,2.03368011359
58,4,1010,252.5,2.04845401667
59,91,6359,69.8791208791,1.9885180423
60,32,6618,206.8125,2.04116508834
61,39,11742,301.076923077,2.08387950029
62,5,1384,276.8,2.0653152119
63,42,11931,284.071428571,2.05658627532
64,42,11914,283.666666667,2.08297597598
65,43,11891,276.534883721,2.06180042343
66,37,10115,273.378378378,2.02843489917
67,41,11490,280.243902439,2.06038376821
68,44,10099,229.522727273,1.9634846371
69,49,11272,230.040816327,2.00796451481
70,49,11430,233.265306122,1.97722417098
71,8,1853,231.625,1.94781143427
72,46,10133,220.282608696,1.97448643733
73,42,11664,277.714285714,2.00507230114
74,26,6942,267.0,1.94558644634
75,29,6977,240.586206897,1.93619938254
76,42,11804,281.047619048,1.95860186007
77,14,3630,259.285714286,1.94063063387
78,45,12549,278.866666667,2.00921498919
79,44,11255,255.795454545,1.97978198111
80,22,6382,290.090909091,2.00500809386
81,44,11053,251.204545455,2.06248106612
82,45,9878,219.511111111,2.06271408724
83,46,11163,242.673913043,2.03610646065
84,42,10371,246.928571429,1.99451696811
85,39,11301,289.769230769,2.03990210427
86,18,4928,273.777777778,1.99826103091
87,16,4351,271.9375,2.01483452937
88,43,11738,272.976744186,2.01396055548
89,35,10612,303.2,1.97800903743
90,53,8603,162.320754717,1.97683942247
91,9,1874,208.222222222,1.98878780562
92,40,11720,293.0,1.9647333155
93,29,6253,215.620689655,1.99143280383
94,35,9198,262.8,2.02446769023
95,48,10950,228.125,2.05763140855
96,45,11321,251.577777778,2.07785112137
97,46,12252,266.347826087,2.03832255667
98,44,11562,262.772727273,2.06789944671
99,45,11799,262.2,2.02011991777
100,1,321,321.0,2.04730860781
101,45,12185,270.777777778,2.078973107
102,27,7648,283.259259259,2.07004787039
103,12,3389,282.416666667,2.08997572316
104,1,380,380.0,2.05549995925
105,46,11122,241.782608696,2.0222901655
106,30,5791,193.033333333,1.99016308844
107,49,10981,224.102040816,1.94244835636
108,39,10418,267.128205128,1.95156031264
109,22,5725,260.227272727,1.93211252207
110,43,9409,218.813953488,1.894370485
111,32,7731,241.59375,1.96107473483
112,3,611,203.666666667,1.96443850346
113,46,9255,201.195652174,1.922599067
114,33,8751,265.181818182,2.03072187161
115,44,11784,267.818181818,1.9822550248
116,22,6182,281.0,1.98371464593
117,44,11181,254.113636364,1.95449816748
118,59,9011,152.728813559,1.92320330715
119,9,2392,265.777777778,1.94978959596
120,45,11226,249.466666667,1.98953969972
121,45,8574,190.533333333,2.01983920638
122,42,10042,239.095238095,2.04289800838
123,44,11232,255.272727273,2.03257501869
124,45,11710,260.222222222,1.96895615093
125,17,4342,255.411764706,1.95524770197
126,43,12197,283.651162791,1.97802720146
127,61,9371,153.62295082,2.01472269
128,19,4293,225.947368421,1.94304678282
129,36,10635,295.416666667,1.99385265036
130,51,8932,175.137254902,1.91928196162
131,41,10545,257.195121951,1.90343281843
132,21,5663,269.666666667,1.84093323484
133,49,10380,211.836734694,1.88204208717
134,43,11407,265.279069767,1.93419372229
135,22,6306,286.636363636,1.93489074899
136,21,6210,295.714285714,1.90721650021
137,12,3104,258.666666667,1.93507639576
138,68,8267,121.573529412,1.92358669907
139,38,7989,210.236842105,1.93779403128
140,14,2667,190.5,1.96135253031
141,1,241,241.0,1.92762963815
142,63,7293,115.761904762,1.97982241241
143,42,11958,284.714285714,1.96350454617
144,1,264,264.0,1.97475937428
145,49,9826,200.530612245,2.00045552708
146,45,10896,242.133333333,2.02005395904
147,49,9960,203.265306122,1.98866636908
148,42,10714,255.095238095,1.93476981485
149,36,8305,230.694444444,1.95229984244
150,42,9341,222.404761905,1.94854115408
151,6,1712,285.333333333,1.95458153687
152,29,6484,223.586206897,1.97709738255
153,47,12129,258.063829787,1.95469507869
154,42,8148,194.0,1.96916005533
