epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,104,2370,22.7884615385,5.13931996172
2,55,4074,74.0727272727,5.69683473814
3,55,4219,76.7090909091,5.44578731511
4,54,4502,83.3703703704,5.46133190114
5,56,4633,82.7321428571,5.24437890876
6,54,4575,84.7222222222,5.15819213161
7,55,5809,105.618181818,4.35565768471
8,49,5365,109.489795918,3.97395266939
9,51,6096,119.529411765,3.45975588808
10,41,6256,152.585365854,3.14338255331
11,56,7328,130.857142857,2.92800743118
12,46,9871,214.586956522,2.66068019284
13,54,7519,139.240740741,2.42848420288
14,54,8737,161.796296296,2.33773529718
15,41,9108,222.146341463,2.13773765212
16,44,10809,245.659090909,2.13504093515
17,28,4814,171.928571429,2.10266855106
18,2,648,324.0,2.11753241582
19,50,10719,214.38,2.05264234856
20,40,7492,187.3,2.05535784749
21,45,11328,251.733333333,2.00880764777
22,50,10176,203.52,1.94474380989
23,42,10994,261.761904762,1.95792852651
24,47,11230,238.936170213,1.98388867054
25,48,9559,199.145833333,1.92017151734
26,47,9419,200.404255319,1.95266790356
27,48,9955,207.395833333,1.93902331138
28,63,5552,88.126984127,1.94406254284
29,23,4691,203.956521739,2.00343531476
30,46,11468,249.304347826,1.96899328476
31,39,10427,267.358974359,2.04700473266
32,50,8193,163.86,1.98572655501
33,42,10379,247.119047619,2.03628413005
34,43,7165,166.627906977,1.94147341
35,13,3481,267.769230769,2.00736418825
36,47,9639,205.085106383,2.05219081173
37,50,8873,177.46,2.00191181408
38,48,8390,174.791666667,2.02695740018
39,49,6588,134.448979592,1.92530660916
40,49,11646,237.673469388,2.00807766907
41,43,8882,206.558139535,1.93107971676
42,53,9722,183.433962264,1.96654616177
43,39,7637,195.820512821,1.981071398
44,42,7086,168.714285714,2.0166708325
45,48,11012,229.416666667,1.96020019058
46,2,530,265.0,1.96195164543
47,20,4605,230.25,1.98518718105
48,47,8507,181.0,1.9827378827
49,56,6205,110.803571429,1.9317502504
50,53,10241,193.226415094,1.89551716482
51,48,6898,143.708333333,1.92183919936
52,34,6475,190.441176471,1.91918316415
53,4,1048,262.0,1.90586342951
54,6,1024,170.666666667,1.90118828148
55,21,4845,230.714285714,1.91077375239
56,51,9828,192.705882353,1.94491898643
57,8,1836,229.5,1.98613882022
58,50,11171,223.42,1.96016599162
59,47,10049,213.808510638,2.00698856734
60,11,2747,249.727272727,1.96766765056
61,10,2299,229.9,1.98524865735
62,49,10189,207.93877551,1.91902480491
63,50,11268,225.36,1.87837635646
64,8,1970,246.25,1.97585571378
65,55,7803,141.872727273,1.92708560713
66,56,8593,153.446428571,1.98754512582
67,53,9796,184.830188679,1.9873670556
68,17,3463,203.705882353,2.03477657493
69,21,5314,253.047619048,1.98731747407
70,25,4947,197.88,2.03510139363
71,54,10232,189.481481481,1.99504141355
72,49,8660,176.734693878,1.99437861873
73,52,11386,218.961538462,1.98865819691
74,38,8440,222.105263158,1.97855537068
75,47,8354,177.744680851,1.99253969338
76,52,10398,199.961538462,1.95636901572
77,50,8588,171.76,1.93751816202
78,51,11521,225.901960784,1.90354276875
79,40,8159,203.975,1.91292678693
80,50,10063,201.26,1.90754421802
81,50,11770,235.4,1.91017216412
82,18,4180,232.222222222,1.93787703561
83,48,9793,204.020833333,1.97682975046
84,30,7005,233.5,1.97769963555
85,50,10930,218.6,1.97028790386
86,22,5485,249.318181818,2.0053012632
87,49,10858,221.591836735,1.98911326546
88,47,11499,244.659574468,1.93090557858
89,51,9072,177.882352941,1.92191840375
90,33,5719,173.303030303,1.88363841405
91,50,9185,183.7,1.93666366206
92,52,9460,181.923076923,1.9379426424
93,47,10956,233.106382979,1.98047891792
94,43,9534,221.720930233,1.97592453998
95,43,10808,251.348837209,2.05208860604
96,26,5215,200.576923077,1.99955218915
97,53,10811,203.981132075,2.08522843815
